name;Partei;Twitter
Dr. Bernd Baumann;AfD;berndbaumannafd?lang=de
Marc Bernhard;AfD;MarcBernhardAfD
Andreas Bleck;AfD;AndreasBleckMdB
Peter Boehringer;AfD;PeterBoehringer
Stephan Brandner;AfD;stbrandner
Jürgen Braun;AfD;JuergenBraunAfD
Marcus Bühl;AfD;Marcus_Buehl
Matthias Büttner;AfD;Buettner_MdB
Petr Bystron;AfD;BystronAfD
Tino Chrupalla;AfD;Tino_Chrupalla
Joana Cotar;AfD;JoanaCotar
Dr. Gottfried Curio;AfD;GottfriedCurio
Siegbert F. Droese;AfD;Siegbert_Droese
Thomas Ehrhorn;AfD;Thomas_Ehrhorn
Berengar Elsner von Gronow;AfD;elsnervongronow
Dr. Michael Espendiller;AfD;EspendillerM
Peter Felser;AfD;PeterFelser
Dietmar Friedhoff;AfD;NA
Dr. Anton Friesen;AfD;DrFriesenMdB
Markus Frohnmaier;AfD;frohnmaier_afd?lang=de
Dr. Götz Frömming;AfD;gtzfrmming?lang=de
Dr. Alexander Gauland;AfD;NA
Prof. Dr. med. Axel Gehrke;AfD;axelgehrke?lang=de
Albrecht Glaser;AfD;NA
Franziska Gminder;AfD;NA
Wilhelm von Gottberg;AfD;NA
Kay Gottschalk;AfD;kaygottschalk1
Armin-Paulus Hampel;AfD;NA
Mariana Harder-Kühnel;AfD;M_HarderKuehnel
Dr. Roland Hartwig;AfD;R_Hartwig_AfD
Jochen Haug;AfD;Jochen_Haug
Martin Hebner;AfD;NA
Udo Hemmelgarn;AfD;UdoHemmelgarn
Waldemar Herdt;AfD;WaldemarHerdt
Martin Hess;AfD;Martin_Hess_AfD
Prof. Dr.-Ing. Heiko Hessenkemper;AfD;NA
Karsten Hilse;AfD;HilseMdb
Nicole Höchst;AfD;Nicole_Hoechst
Martin Hohmann;AfD;HohmannMdb
Dr. Bruno Hollnagel;AfD;DrHollnagel
Leif-Erik Holm;AfD;Leif_Erik_Holm
Johannes Huber;AfD;HuberMdB
Fabian Jacobi;AfD;Jacobi_AfD
Dr. Marc Jongen;AfD;Marc_Jongen
Jens Kestner;AfD;KestnerJens
Stefan Keuter;AfD;StefanKeuterAfD
Norbert Kleinwächter;AfD;NKleinwaechter
Enrico Komning;AfD;EnricoKomning
Jörn König;AfD;JoernKoenigAfD
Dipl. Ing. Steffen Kotré;AfD;steffenkotre
Dr. Rainer Kraft;AfD;Dr_Rainer_Kraft
Rüdiger Lucassen;AfD;MdB_Lucassen?lang=de
Frank Magnitz;AfD;Frank_Magnitz
Prof. Dr. Lothar Maier;AfD;ProfMaier
Jens Maier;AfD;JensMaierAfD
Dr. Birgit Malsack-Winkemann;AfD;MalsackWinkeman
Corinna Miazga;AfD;CorinnaMiazga
Andreas Mrosek;AfD;mrosek1958
Hansjörg Müller;AfD;MdB_Mueller_AfD
Volker Münz;AfD;NA
Sebastian Münzenmaier;AfD;s_muenzenmaier
Christoph Neumann;AfD;Neumann_AfD
Jan Nolte;AfD;Jan_Nolte_AfD
Ulrich Oehme;AfD;Ulrich_Oehme
Gerold Otten;AfD;ttte94
Frank Pasemann;AfD;Frank_Pasemann
Tobias Matthias Peterka;AfD;TobiasMPeterka
Paul Viktor Podolay;AfD;paul_podolay?lang=de
Jürgen Pohl;AfD;Pohl_MdB
Stephan Protschka;AfD;ProtschkaStepha
Martin Reichardt;AfD;M_Reichardt_AfD
Martin E. Renner;AfD;Renner_AfD
Roman Reusch;AfD;NA
Ulrike Schielke-Ziesing;AfD;ulschzi
Dr. med Robby Schlund;AfD;drrobbyschlund?lang=de
Jörg Schneider;AfD;Schneider_AfD
Uwe Schulz;AfD;Uwe_Schulz_AfD
Thomas Seitz;AfD;Th_Seitz_AfD
Martin Sichert;AfD;http://twitter/AfDNbg
Detlev Spangenberg;AfD;NA
Dr.-Ing. Dirk Spaniel;AfD;DirkSpaniel
René Springer;AfD;SpringerRen
Beatrix von Storch;AfD;Beatrix_vStorch
Dr. Alice Weidel;AfD;alice_weidel?lang=de
Prof. Dr. Harald Weyel;AfD;h_weyel
Wolfgang Wiehle;AfD;WolfgangWiehle
Dr. Heiko Wildberg;AfD;Heiko_Wildberg
Dr. Christian Wirth;AfD;ChrWirthMdB
Uwe Witt;AfD;Witt_Uwe
