last_name,first_name,party,bundesland,wahlkreis,wahlkreis_nr,twitter
Abercron,Dr. Michael von,CDU/CSU,Schleswig-Holstein,Pinneberg,7.0,https://twitter.com/mvabercron/
Achelwilm,Doris,Die Linke,,,,
Aggelidis,Grigorios,FDP,Niedersachsen,Hannover-Land I,43.0,https://twitter.com/aggelidis_fdp?lang=de
Akbulut,Gökay,Die Linke,Baden-Württemberg,Mannheim,275.0,https://twitter.com/akbulutgokay?lang=de
Albani,Stephan,CDU/CSU,Niedersachsen,Oldenburg – Ammerland,27.0,
Alt,Renata,FDP,,,,
Altenkamp,Norbert,CDU/CSU,Hessen,Main-Taunus,181.0,
Altmaier,Peter,CDU/CSU,Saarland,Saarlouis,297.0,https://twitter.com/peteraltmaier
Amthor,Philipp,CDU/CSU,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,16.0,
Amtsberg,Luise,Bündnis 90/Die Grünen,,,,
Andreae,Kerstin,Bündnis 90/Die Grünen  *,Baden-Württemberg,Freiburg,281.0,
Annen,Niels,SPD,Hamburg,Hamburg-Eimsbüttel,20.0,
Arndt-Brauer,Ingrid,SPD,Nordrhein-Westfalen,Steinfurt I – Borken I,124.0,
Aschenberg-Dugnus,Christine,FDP,Schleswig-Holstein,Rendsburg-Eckernförde,4.0,https://twitter.com/cad59?lang=de
Auernhammer,Artur,CDU/CSU,Bayern,Ansbach,241.0,
Aumer,Peter,CDU/CSU,Bayern,Regensburg,233.0,
Bach,Bela,SPD,,,,
Badum,Lisa,Bündnis 90/Die Grünen,Bayern,Bamberg,236.0,https://twitter.com/badulrichmartha
Baehrens,Heike,SPD,,,,
Bär,Dorothee,CDU/CSU,Bayern,Bad Kissingen,248.0,
Baerbock,Annalena,Bündnis 90/Die Grünen,Brandenburg,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,61.0,
Bahr,Ulrike,SPD,Bayern,Augsburg-Stadt,252.0,
Baradari,Nezahat,SPD,Nordrhein-Westfalen,Olpe – Märkischer Kreis I,149.0,
Bareiß,Thomas,CDU/CSU,Baden-Württemberg,Zollernalb – Sigmaringen,295.0,
Barley,Dr. Katarina,SPD  *,,,,
Barnett,Doris,SPD,Rheinland-Pfalz,Ludwigshafen/Frankenthal,207.0,
Barrientos,Simone,Die Linke,Bayern,Würzburg,251.0,
Barthle,Norbert,CDU/CSU,Baden-Württemberg,Backnang – Schwäbisch Gmünd,269.0,
Bartke,Dr. Matthias,SPD,Hamburg,Hamburg-Altona,19.0,
Bartol,Sören,SPD,Hessen,Marburg,171.0,
Bartsch,Dr. Dietmar,Die Linke,,,,
Bas,Bärbel,SPD,Nordrhein-Westfalen,Duisburg I,115.0,
Bauer,Nicole,FDP,Bayern,Landshut,228.0,http://www.twitter.com/nicole_ae_bauer
Baumann,Dr. Bernd,AfD,Hamburg,Hamburg-Altona,19.0,https://twitter.com/BerndBaumannAfD
Bause,Margarete,Bündnis 90/Die Grünen,Bayern,München-Ost,218.0,https://www.twitter.com/MargareteBause
Bayaz,Dr. Danyal,Bündnis 90/Die Grünen,Baden-Württemberg,Bruchsal – Schwetzingen,278.0,https://twitter.com/DerDanyal
Bayram,Canan,Bündnis 90/Die Grünen,Berlin,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,83.0,https://twitter.com/LieblingXhain
Beeck,Jens,FDP,Niedersachsen,Mittelems,31.0,https://twitter.com/jensbeeck
Beer,Nicola,FDP  *,Hessen,Frankfurt am Main I,182.0,
Beermann,Maik,CDU/CSU,Niedersachsen,Nienburg II – Schaumburg,40.0,
Behrens (Börde),Manfred,CDU/CSU,Sachsen-Anhalt,Börde – Jerichower Land,67.0,
Bellmann,Veronika,CDU/CSU,,,,
Benning,Sybille,CDU/CSU,Nordrhein-Westfalen,Münster,129.0,
Berghegger,Dr. André,CDU/CSU,Niedersachsen,Osnabrück-Land,38.0,
Bernhard,Marc,AfD,Baden-Württemberg,Karlsruhe-Stadt,271.0,https://twitter.com/MarcBernhardAfD
Bernstein,Melanie,CDU/CSU,,,,
Bernstiel,Christoph,CDU/CSU,Sachsen-Anhalt,Halle,72.0,
Beutin,Lorenz Gösta,Die Linke,Schleswig-Holstein,Plön – Neumünster,6.0,https://twitter.com/lgbeutin
Beyer,Peter,CDU/CSU,Nordrhein-Westfalen,Mettmann II,105.0,
Biadacz,Marc,CDU/CSU,Baden-Württemberg,Böblingen,260.0,https://twitter.com/MBiadaczMdB
Bilger,Steffen,CDU/CSU,Baden-Württemberg,Ludwigsburg,265.0,https://twitter.com/steffenbilger
Binding (Heidelberg),Lothar,SPD,,,,
Birkwald,Matthias W.,Die Linke,Nordrhein-Westfalen,Köln II,94.0,https://twitter.com/MWBirkwald
Bleck,Andreas,AfD,Rheinland-Pfalz,Neuwied,197.0,https://twitter.com/AndreasBleckMdB
Bleser,Peter,CDU/CSU,Rheinland-Pfalz,Mosel/Rhein-Hunsrück,200.0,
Bluhm-Förster,Heidrun,Die Linke,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte II – Landkreis Rostock III,17.0,
Boehringer,Peter,AfD,Bayern,Amberg,232.0,https://twitter.com/PeterBoehringer
Brackmann,Norbert,CDU/CSU,Schleswig-Holstein,Herzogtum Lauenburg – Stormarn-Süd,10.0,
Brand (Fulda),Michael,CDU/CSU,Hessen,Fulda,174.0,
Brandenburg (Rhein-Neckar),Dr. Jens,FDP,Baden-Württemberg,Rhein-Neckar,277.0,https://twitter.com/JBrandenburgFDP
Brandenburg (Südpfalz),Mario,FDP,Rheinland-Pfalz,Südpfalz,211.0,
Brandl,Dr. Reinhard,CDU/CSU,Bayern,Ingolstadt,216.0,
Brandner,Stephan,AfD,Thüringen,Erfurt – Weimar – Weimarer Land II,193.0,http://www.twitter.com/stbrandner
Brandt,Michel,Die Linke,Baden-Württemberg,Karlsruhe-Stadt,271.0,
