doc_id;username;retweet_count;favorite_count;full_text;label;topic
3964;karl_lauterbach;1182;8504;Bolsonaro ist eine Katastrophe fuer die Welt. Er ueberlaesst Arme und Alte dem Tod durch Coronavirus und will, dass ihr Schicksal unmenschlich verschwiegen wird. Den Regenwald laesst er abholzen und beschleunigt den Klimawandel fuer alle Menschen. Er muss weg;negative;Bolsonaro
35626;karl_lauterbach;875;8182;Olaf Scholz sollte es bei AnneWill noch klarer sagen: es kann nicht sein, dass Autokonzerne Dividenden und Boni auszahlen, wenn sie aus Steuermitteln bezuschusst werden. Der Steuerzahler darf nicht ausgenutzt werden, um ueber Dividenden den Aktienkurs in die Hoehe zu treiben.;;
48042;EskenSaskia;400;6350;Wenn ich sage: ... wuerde ich es sehr begruessen, wenn (wir) all denen, die ... ein soziales Dienstjahr leisten wollen, auch einen Platz (anbieten) und daraus entsteht die Meldung SPD-Chefin offen fuer Pflichtjahr im Dienst der Allgemeinheit, dann ist was schiefgelaufen, oder?;negative;Dienstjahr
27247;EskenSaskia;331;3732;Nirgends, weder in USA noch in Neukoelln oder anderswo, duerfen sich Vandalismus u blinde Gewalt auf das berechtigte Anliegen des Widerstands gegenRassismus berufen. Wir lassen uns unsere antifaschistische Haltung gegen alle Menschenfeinde nicht zerstoeren und auch nicht zerreden.;;
34009;cem_oezdemir;179;3423;Bin nicht sicher, ob alle verstanden haben, wie sehr das CSU-Buergermeister-Gate uns alle in der Integrationsdebatte zurueckwirft. Ja, MigrantInnen muessen deutsch lernen, sich um einen Job bemuehen, zur Verfassusng stehen. Aber was ist, wenn sie all dies tun? Macht nachdenklich.;;
26524;karl_lauterbach;906;3222;16 von 26 Rotary Club Mitgliedern haben sich in einem Raum waehrend eines Vortrags angesteckt. Der Raum war nicht ueberfuellt, genug Platz. Ein weiteres Beispiel fuer Aerosoluebertragung drinnen durch einen Superspreader. Das wird die Hauptgefahr im Herbst sein;;
54713;karl_lauterbach;367;2872;Gauland hat nicht nur respektlos bei der Rede des israelischen Praesidenten gesessen. Seine Fraktion hat den Beifall verweigert, besonders als es bei Steinmeier um neue Gefahren des Nationalsozialismus in Deutschland ging. Da schien sich die AfD, zu Recht, angesprochen zu fuehlen;negative;AfD
41435;karl_lauterbach;169;2787;(2) Im Uebrigen bin ich in bezug auf Impfstoffe 2021 eher Optimist. Da ich Langzeitschaeden von Covid ganz besonders genau analysiere, will ich helfen, vielen jahrzehntelange Krankheit durch ein paar Wochen Vorsicht zu ersparen. Davon halten mich auch selbstgerechte Hater nicht ab;;
37664;alice_weidel;1199;2661;Wenn die Medien gerade berichten, dass keine Asylbewerber mehr nach Deutschland einreisen koennten, dann ist das nur die halbe Wahrheit. Denn wer an der Grenze Asyl sagt, der wird problemlos eingelassen. Hoeren Sie in die heutige Bundespressekonferenz hinein. COVID2019de AfD;;
57086;cem_oezdemir;329;2630;Die haghiasophia ist gleich in zweifacher Hinsicht ein Symbol. Sie steht oder besser stand fuer die saekulare Tuerkei. Und sie ist das Wahrzeichen der einstmals grossen orientalischen  orthodoxen Christen. Erdogan zeigt, was er von beidem haelt. Es kann nicht ohne Folgen bleiben;;
14922;alice_weidel;762;2601;Merkel betreibt einmal mehr Europapolitik gegen die Interessen der deutschen Buerger und Steuerzahler, um sich als grosse Europaeerin feiern zu lassen. Rechts- und Verfassungsbruch wird in Kauf genommen. Merkel und Macron sind die Totengraeber der Demokratie in Europa! EUGipfel;negative;Merkel
