doc_id;full_text
ABaerbock15156546391;Habe mir das Gro Ko-Sondierungspapier zu Klima nochmal genau angeschaut. Krass: De facto wird sogar das Kyoto-Protokoll, der Meilenstein der Klimadiplomatie fuer nichtig erklaert! Frau Merkel, das geht so nicht! Nachbessern! kohleausstieg
ABaerbock15170574251;Vielen Dank fuer euer Vertrauen! Vielen Dank fuer viel Frauenpower und fairen Wahlkampf. Ich freue mich tierisch auf die Aufgaben als Bundesvorsitzende von und die Arbeit mit euch allen und einem starken Buvo-Team. erstderanfang bdk18
ABaerbock15210084491;Auch weltweit sieht man, dass Angela Merkel s Gro Ko 3.0 nicht klimatauglich ist, sondern vielmehr das Pariser Abkommen unterlaeuft. Auch aussenpolitisch fatal. Daher Klimasofortprogramm jetzt auflegen!
ABaerbock15216333121;Dass der Islam zu Deutschland gehoert ist gelebter Alltag in unserem Land u eine Selbstverstaendlichkeit. Deswegen gut, dass BK Merkel das ihren ewig gestrigen Minister in ihrer Regierungserklaerung noch mal erklaert.Richtlinienkompetenz muss nun aber auch inhaltlich Folgen haben
ABaerbock15216341971;Der groessten globalen Herausforderung, der Klimakrise, 30 Sek. von 1 Std Regierungserklaerung zu widmen, unterstreicht die groesste Leerstelle im Koalitionsvertrag. Auch sozialpolitisch wird uns das auf die Fuesse fallen. Unter den Klimafolgen leiden gerade die aermsten am meisten.
ABaerbock15249970291;Bin ja regelrecht begeistert Spieletische im ICE - angeblich schon seit 2 Jahren auf ausgewaehlten Strecken. Wenn es demnaechst noch etwas mehr Platz fuer Kinderwagen gibt ... Familienfreundliches Deutschland
ABaerbock15256297731;Das ist die Leistung von Hunderten Wahlkaempfern und Politikern im Land, die draussen waren und gezeigt haben, dass sie dicht an dem sind, was die Menschen umtreibt. Und im Konkreten beweisen, wie lebensnah gruene Politik ist. kwsh kow18 Kommunalwahl
ABaerbock15283779591;Luise Amtsberg hat heute alles gesagt,was es zum Familiennachzug zu sagen gibt. Wer Integration will, muss Gefluechteten Perspektiven auf ein Zusammenleben mit ihren Familien geben. Das Grundrecht auf Familie darf nicht beschnitten werden. Die Gro Ko macht aber genau das.
ABaerbock15305649451;Und mit Blick auf Punkt 3 - Zurueckweisung an der deutsch /oesterreichischen Grenze - hatte die oesterreichische Regierung ja bereits erklaert, dass sie das nicht mitmachen werde .... pseudo Kompromiss Seehofer Unionsstreit
ABaerbock15372868401;Maassen nun also rechte Hand von Seehofer. Es gibt nicht genug Adjektive um das Drama dieser Grossen Koalition zu beschreiben. Aber ehrlich gesagt, mach ich mir nach heute einfach nur noch mehr Sorgen um die Zukunft unserer Demokratie. Umso mehr gilt: When They Go Low We Go High
ABaerbock15380505441;EM2024 Es ist eine tolle Nachricht fuer Fans in DEU und weltweit. Ich freue mich sehr auf das Turnier. Korruptionsvorwuerfe von 2006 muessen bis dahin aufgeklaert werden. EM muss Turnier fuer die Fans werden, den Opa und seine Enkelin, genau wie den Stahlarbeiter oder die Managerin.
ABaerbock15435904721;Ob Kohleausstieg, CO2-Preis, Verkehrswende oder die Einhaltung eigener CO2-Minderungsziele. Beim Klimaschutz hakt es in Deutschland an allen Ecken und Enden. Das muss sich dringend aendern. COP24
ABaerbock15485148331;Ein wirkliches Recht auf Information zum Schwangerschaftsabbruch fuer alle Frauen sowie Rechtssicherheit fuer Aerztinnen Aerzte sollte selbstverstaendlich sein! In 30 Staedten sind wir Frauen heute auf der Strasse, damit es endlich kommt. wegmit219a mybodymychoice
