name_matching;username;available;created_at;full_text;retweet_count;favorite_count;followers_count;location;topic;label;from;to
Alice Weidel;alice_weidel;TRUE;2020-06-04T11:56:17Z;Konjunkturpaket: Die geplante Mehrwertsteuersenkung ist doppelt zu kurz gesprungen. Der Schritt von 19 auf 16 Prozent ist zu gering, um nachhaltige Wirkung zu entfalten und die Befristung ist erst recht unsinnig. Die AfD fordert eine dauerhafte Senkung auf 12 Prozent bzw. 5 Prozent!;340;1373;107349;Berlin, Deutschland;Mehrwertsteuersenkung;negative;31;51
Niema Movassat;niemamovassat;TRUE;2020-05-11T10:13:49Z;(1) Die neue Verachtung gegen die Wissenschaft, die man von Kubicki, Laschet und Coronaleugnern hoert ist brandgefaehrlich.   Da braut sich eine Melange zusammen: Auf der Strasse die Leugner, in politischer Verantwortung Leute, die es befeuern und die Ignoranz praktisch umsetzen.;77;401;19359;"";Leugner;negative;184;190
Heiko Maas;HeikoMaas;TRUE;2019-02-24T08:00:00Z;Wenn Juedinnen und Juden in Europa wieder Angst haben, ist das beschaemend fuer uns alle. Jeder einzelne Angriff auf sie ist auch eine Attacke auf unsere liberale Demokratie. Juedisches Leben muessen wir als unverdientes Geschenk betrachten und alles tun, um es bei uns zu schuetzen.;235;1129;407934;Saarlouis/Berlin;Juedisches;negative;176;185
Aydan Ozoguz;oezoguz;TRUE;2019-04-22T20:43:53Z;Was kann nur Menschen dazu verleiten, eine derart abscheuliche und niedertraechtige Tat zu begehen? In einer Kirche, zum religioesen friedlichen Fest zum Moerder zu werden.. Ich trauere mit allen Angehoerigen und wuensche SriLanka, dass sie enger zusammenruecken gegen Hass und Terror.;12;60;18914;Hamburg;SriLanka;negative;223;230
Oliver Krischer;Oliver_Krischer;TRUE;2020-05-13T20:24:46Z;Eine Fraktion, die 13 Seiten zu GreenDeal Klimaschutz und nachhaltiger Entwicklung beschliesst, aber darin nur einmal ErneuerbareEnergien ganz am Rande erwaehnt, hat grundsaetzlich etwas nicht verstanden. Mal abgesehen von manch anderem Bloedsinn, der da noch drin steht @cducsubt;17;68;13159;RegionAachen/NRW/Berlin;Klimaschutz;negative;43;53
Paul Ziemiak;PaulZiemiak;TRUE;2020-09-13T16:12:37Z;Die @CDUNRW_de ist mit Abstand die staerkste Kraft bei der Kommunalwahl2020. Damit bleibt die CDU die praegende Kommunalpartei in Stadt und Land. Herzlichen Glueckwunsch an alle Wahlkaempferinnen und Wahlkaempfer vor Ort! Ihr habt grandios gekaempft! Vielen Dank fuer Euren Einsatz!;31;181;37629;Germany;Kommunalwahl2020;positive;60;75
Karl Lauterbach;karl_lauterbach;TRUE;2020-06-07T11:14:48Z;Bolsonaro ist eine Katastrophe fuer die Welt. Er ueberlaesst Arme und Alte dem Tod durch Coronavirus und will, dass ihr Schicksal unmenschlich verschwiegen wird. Den Regenwald laesst er abholzen und beschleunigt den Klimawandel fuer alle Menschen. Er muss weg;1182;8504;268502;Berlin, Deutschland;Bolsonaro;negative;1;9
Konstantin Kuhle;konstantinkuhle;TRUE;2020-10-09T15:03:14Z;@phoenix_de @fdpbt @fdp Der Ausschnitt ist symptomatisch fuer die Probleme, wenn man sich bei der FDP fuer mehr Frauen einsetzt. Die Rede wird verkuerzt und mit Frauenquote versehen. Ich spreche hier aber gerade gegen ein Paritaetsgesetz. Differenzierung geht unter. Aufregung auf allen Seiten. Schade.;4;64;25494;Göttingen/Berlin;Frauen;negative;113;118
Anke Domscheit-Berg;anked;TRUE;2020-04-29T20:44:53Z;Auf meine Frage, ob die CoronaApp auch ohne Playstores verfuegbar sein wird, gab es ein enttaeuschendes: nein, vielleicht spaeter mal, auf jeden Fall nicht zu Beginn. Apropos: einen neuen Zeitplan gibt es nicht, auch keinen ungefaehren. ContactTracingApp COVID19de  /10;11;83;37801;Germany;CoronaApp;negative;25;33
Michael Roth;MiRo_SPD;TRUE;2020-03-08T09:03:30Z;Der Frauentag  geht vor allem auch uns Maenner an. Geschlechtergerechtigkeit tut allen gut. Kein Kerl muss Angst davor haben, wenn Frauen gleichermassen mitreden  mitentscheiden wie wir. Denn niemandem wird etwas weggenommen. Wir gewinnen. Und zwar alle. womensday MaleAllies;12;83;34054;Bad Hersfeld;Frauentag;positive;5;13
Dietmar Bartsch;DietmarBartsch;TRUE;2019-05-13T08:03:15Z;Mich bestuerzt die verantwortungsvergessene Leichtigkeit, mit der ein deutscher Politiker postuliert, Bomben auf den Iran sind moeglich, und gleichzeitig abstreitet, dass dadurch mehr Menschen in die Flucht getrieben werden. Der Nahe Osten ist mahnender Zeuge fuer das Gegenteil.;29;108;62978;"";Iran;negative;118;121
Katja Suding;KatjaSuding;TRUE;2020-09-13T08:53:17Z;.@MAStrackZi  kennt ihre Stadt  setzt sich schon heute mit Rueckgrat fuer Euch und Eure Interessen ein. Als fruehere Buergermeisterin hat sie gezeigt, dass sie es kann. Jetzt ist es Zeit fuer den Chefsessel. MASZ ist eine Duesseldorferin fuer Duesseldorf. MASZmachts OBDUS20 FDPwaehlen;2;26;12672;Hamburg;Buergermeisterin;positive;118;133
Saskia Esken;EskenSaskia;TRUE;2020-07-10T07:12:27Z;@alexander_jorde @cducsubt Ich finde es nur gerecht, dass die Arbeit insbesondere der Pflegekraefte in Zeiten von Corona durch Praemien anerkannt wird. Mit der gesetzlichen Regelung der Praemien fuer Altenpflegekraefte haben wir sichergestellt, dass sie nicht auf Kosten der Pflegebeduerftigen gezahlt werden.;2;22;77726;Berlin / Nordschwarzwald;Pflegekraefte;positive;87;99
Sven Lehmann;svenlehmann;TRUE;2020-06-18T19:30:54Z;Sie haben es tatsaechlich getan: CDUSPDFDP in Koeln verscherbeln einen Teil des Aeusseren Gruenguertels und stimmen fuer die Bebauung der Gleueler Wiese  Dafuer muessen sie bei der Kommunalwahl am 13.9. die Quittung bekommen. Ein schwarzer Tag fuer den Klima- und Umweltschutz!;70;213;14966;Köln/Berlin;Umweltschutz;negative;265;276
Heiko Maas;HeikoMaas;TRUE;2020-08-31T08:21:22Z;In ihrer groessten Krise mit fast 200000 Toten und einem historisch einmaligen wirtschaftlichen Absturz hat die vermeintlich zerstrittene und oft abgeschriebene EU sich und der Welt bewiesen, was Solidaritaet bedeutet. Habe das bei Botschafterkonferenz in Paris betont. EuropeUnited;52;299;407934;Saarlouis/Berlin;EU;positive;162;163
Karl Lauterbach;karl_lauterbach;TRUE;2019-08-10T17:13:56Z;Prantl hat Recht, die GroKo hat derzeit weder in der Bevoelkerung Rueckhalt, noch hilft sie den Beteiligten. Sie haelt dazu die AfD stark. Der dringend notwendige Neuanfang in Umwelt-, Sozial- und Sicherheitspolitik kommt so nicht. SPD stagniert im Siechtum;27;169;268502;Berlin, Deutschland;GroKo;negative;23;27
Aydan Ozoguz;oezoguz;TRUE;2020-02-24T10:03:46Z;Sieht nach einem ziemlich guten Ergebnis fuer die spdhamburg in meinem Wahlkreis wandsbek aus. Da freue ich mich schon mal mit unserem Kreischef @ADressel. Wird noch spannend bis heute Nachmittag fuer die Kandidatinnen und Kandidaten. Hamburgwahl HHWahl SPD;3;38;18914;Hamburg;spdhamburg;positive;51;60
Heiko Maas;HeikoMaas;TRUE;2020-06-14T07:32:26Z;Europa ist fuer mich nur Europa, wenn die Grenzen zwischen unseren Laendern offen sind. Als heute vor 35 Jahren Schengen unterzeichnet wurde, haben wir einen Riesenschritt nach vorne gemacht auf einem Kontinent, der jahrhundertelang von Kriegen beherrscht war. EuropeUnited;151;1099;407934;Saarlouis/Berlin;Schengen;positive;113;120
Niema Movassat;niemamovassat;TRUE;2020-03-25T15:54:28Z;Die Lage in Moria auf Lesbos ist dramatisch. Die Essensversorgung fuer Kinder u. Jugendliche ist auf 1000 Kalorien reduziert. Wasser massiv rationiert. Die Menschen sind Angriffe von Faschisten immer mehr hilflos ausgesetzt. HOLT DIE LEUTE DA RAUS! savethem;195;502;19359;"";Moria;negative;13;17
Karl Lauterbach;karl_lauterbach;TRUE;2019-11-12T21:00:58Z;Der Staat hat nicht versagt, im Gegenteil. Er konnte den Anschlag verhindern, die Verbrecher fassen. Der Polizei und den Ermittlern gebuehrt groesster Dank, keine Beschimpfung. Es geht in erster Linie weder um Tuerken, Mazedonier oder Offenbacher. Nur um hochgefaehrliche Verbrecher;65;1038;268502;Berlin, Deutschland;Polizei;positive;106;112
Alice Weidel;alice_weidel;TRUE;2019-04-04T15:24:09Z;+++Schlag ins Gesicht der Demokratie!+++ Der Waehler wird sehr genau beobachten, wie hier mit uns umgegangen wird. Das Verhalten der anderen Parteien ist ganz klar undemokratisch. Wir sind die groesste Oppositionspartei im Bundestag. HarderKuehnel Bundestagsvizepraesidentin AfD;814;2750;107349;Berlin, Deutschland;AfD;negative;276;278
Konstantin Notz;KonstantinNotz;TRUE;2020-08-08T12:48:32Z;@Puettmann_Bonn @DLF Eine ziemlich verrueckte Gruppe von wenigen tausend Leuten zieht mit abwegigen bis abstossenden Argumenten durch die Gegend und hat null Rueckhalt in der Bevoelkerung. Berichtenswert daran erscheint vor allem die esoterische bis faschistische Wissenschaftsfeindlichkeit dieser Leute.;2;41;67615;Schleswig-Holstein und Berlin;faschistische;negative;251;263
Sven-Christian Kindler;sven_kindler;TRUE;2020-02-21T19:36:55Z;Es ist verheerend, dass Angela Merkel mit anderen wenigen Staaten hart gegen einen hoeheren EU-Haushalt gekaempft hat. Sonst haelt die Kanzlerin gerne Reden fuer mehr Europa, aber wenn es drauf ankommt, gibt sie die Knauserin. Verantwortungslos.  EUBudget EUCO;8;28;15868;Hannover, Deutschland;Merkel;negative;32;37
Karl Lauterbach;karl_lauterbach;TRUE;2019-10-26T20:30:50Z;Danke an alle, die Nina und mich gewaehlt haben. Und an alle, die bei den Regionalkonferenzen waren. Die Mitglieder sind der Goldschatz der SPD. Menschen voller Idealismus und Engagement fuer die Partei. Und auch Glueckwunsch an die beiden Gewinnerpaare;32;1146;268502;Berlin, Deutschland;Mitglieder;positive;106;115
Aydan Ozoguz;oezoguz;TRUE;2019-11-08T11:35:39Z;Ein sehr emotionaler Termin heute Morgen. Eine bewundernswerte Frau, die sich trotz allem, was ihr angetan wurde, um so viele Differenzierungen und um Klarheit bemueht. Aber auch ihre Aengste offen anspricht. Danke Nadia Murad @NadiaMuradBasee. Und Danke @AuswaertigesAmt;1;11;18914;Hamburg;Murad;positive;222;226
Sven Lehmann;svenlehmann;TRUE;2019-09-20T20:00:38Z;Was ich an @FridayForFuture so wichtig finde: Es geht zuerst um Klimaschutz, ja. Aber es geht auch um Menschenrechte und ein solidarisches Miteinander. Es geht um einen neuen Gesellschaftsentwurf jenseits von Ausbeutung und Gegeneinander. Wir sollten da sehr genau hinhoeren.;29;276;14966;Köln/Berlin;Klimaschutz;positive;65;75
Saskia Esken;EskenSaskia;TRUE;2020-03-13T18:41:11Z;@LebenmitLiebe @Not1Proud @torsten_hautnah @NowaboFM Die Wirtschaft, das sind Selbstaendige und kleine, mittlere und grosse Unternehmen und ihre Beschaeftigten, die die Folgen dieser Pandemie ziemlich unverschuldet trifft.  Das Symbol hilft einigen besonders schutzbeduerftigen Menschen ganz konkret, und darueber bin ich froh.;0;15;77726;Berlin / Nordschwarzwald;hilft;positive;236;240
Alice Weidel;alice_weidel;TRUE;2020-07-21T08:00:57Z;Merkel betreibt einmal mehr Europapolitik gegen die Interessen der deutschen Buerger und Steuerzahler, um sich als grosse Europaeerin feiern zu lassen. Rechts- und Verfassungsbruch wird in Kauf genommen. Merkel und Macron sind die Totengraeber der Demokratie in Europa! EUGipfel;762;2601;107349;Berlin, Deutschland;Merkel;negative;1;6
Katrin Goring-Eckardt;GoeringEckardt;TRUE;2020-10-02T09:11:03Z;Dem ist nur hinzuzufuegen: @Ka_Meier zeigt hier, dass es eine junge, selbstbewusste Generation Ost gibt, die europaeisch tickt, die Vielfalt lebt, Vergangenheit mit nimmt und in Zukunft wandelt. So kann man und frau stolz sein. Danke dafuer, Frau Staatsministerin;7;42;169508;"";Ost;positive;96;98
Sven Lehmann;svenlehmann;TRUE;2020-08-26T07:32:48Z;Die Wahlrechtsreform ist erneut ein Beweis dafuer, wie kraftlos + unambitioniert die GroKo ist. Statt mutiger Schritte werden ein paar Ausgleichsmandate reduziert + ansonsten eine Reform auf die naechste Wahlperiode verschoben. Wir brauchen aber JETZT eine Loesung! @BriHasselmann;9;42;14966;Köln/Berlin;Wahlrechtsreform;negative;5;20
Marie-Agnes Strack-Zimmermann;MAStrackZi;TRUE;2020-09-09T13:15:03Z;1/x: Meine Damen Herren, Sie sehen an Herrn Breuer hier ein Paradebeispiel dafuer, wie Hetze, Halbwahrheiten  Luegen politischen Diskurs insbesondere auf Twitter vergiften. Denn was nicht ins eigene Weltbild passt, darf nicht sein. Insbesondere im Wahlkampf. Nun zum Inhaltlichen:;159;1259;17213;Düsseldorf & Berlin;Breuer;negative;45;50
Karamba Diaby;KarambaDiaby;TRUE;2019-10-23T11:39:35Z;Mit u.a. Ministerin Giffey und Staatssekretaerin @Moebbeck habe ich gestern an die Opfer in Halle gedacht. Wir haben viele Gespraeche gefuehrt: Ich sah bei den Hallenser*innen keine Resignation, sondern ein starkes Mitgefuehl  den  Wunsch nach Zusammenhalt. Das gibt mir Kraft.;10;94;49860;Halle (Saale);Zusammenhalt;positive;245;256
Lars Klingbeil;larsklingbeil;TRUE;2020-08-16T08:47:16Z;Freitag war ich in NRW unterwegs um ein wenig bei der Kommunalwahl zu unterstuetzen. Hat Spass gemacht! Geht am 13. September alle waehlen und ich haette da einen Tipp wo ihr das Kreuz gut machen koennt! SPD NRWSPD;13;123;71386;Munster, Niedersachsen, D;Kommunalwahl;positive;55;66
Marie-Agnes Strack-Zimmermann;MAStrackZi;TRUE;2020-02-24T14:21:27Z;@ms_pieper Der Vorwurf von Lars Klingbeil ist in jeder Hinsicht daneben und falsch. Was in Thueringen passiert ist, ist ein unentschuldbares Desaster. Meine KollegInnen und ich haben uns klar positioniert. Aber dafuer jetzt alle Liberalen in Mithaftung zu nehmen, ist absurd. Gerade bzgl. HH.;2;20;17213;Düsseldorf & Berlin;Thueringen;negative;92;101
Frank Pasemann;Frank_Pasemann;TRUE;2019-10-20T10:53:10Z;Linke Kravallisten wie @jonas_fedders nennen sich Journalisten. Ihre Agenda ist Provokation und Denunziation. Wenn Kubitschek, die Mitarbeiter und Gaeste von @antaios belaestigt werden, dann ist das vieles, aber kein Journalismus. Die Polizei erklaert es ihm vergeblich! fbm19 @AfD;59;171;12090;Mitteldeutschland;Journalismus;negative;218;229
Beatrix Storch;Beatrix_vStorch;TRUE;2020-10-23T11:43:16Z;Nach Thueringen jetzt also auch hoechstrichterlich in Brandenburg: Die Paritaet und damit die Geschlechterapartheid ist tot und das ist auch gut so. Der Staendestaat kannte Gruppenrechte. Das haben wir heute ueberwunden. Gott sei Dank! Frauenquote ist Mittelalter. Meine Rede dazu:;151;717;59829;Berlin, Deutschland;Frauenquote;positive;237;247
Paul Ziemiak;PaulZiemiak;TRUE;2020-09-25T13:20:20Z;Schulen sind auch Orte der Herzens- und Charakterbildung. Unser Parteifreund Walter Luebcke hatte Herz und Charakter. Er wurde von einem Rechtsradikalen ermordet, weil er fuer andere einstand. Ein starkes Zeichen, dass die Schule in Wolfhagen jetzt seinen Namen traegt. Danke!;21;147;37629;Germany;Luebcke;positive;85;91
