name_matching;username;available;created_at;full_text;retweet_count;favorite_count;followers_count;location;label
Christoph Meyer;ChristophFDP;TRUE;2019-12-01 08:11:40;Immer noch sind HIV und AIDS Gründe, den Kontakt zu Betroffenen abzubrechen. Das betrübt. Lasst uns weiter dafür kämpfen, diesen beschi***** Virus zu besiegen und vor allem: Bietet denen, die gegen ihn kämpfen, einen Platz in eurer Mitte. #WorldAIDSDay TM;1;34;2757;Berlin, Deutschland;negative
Frank Schwabe;FrankSchwabe;TRUE;2018-01-16 15:00:53;@Nordkurier Und damit ist das Thema übrigens für Karin #Strenz auch noch nicht durch. Sie lässt weiterhin entscheidende Fragen unbeantwortet. Und letztlich hat sie durch ihre politische Tätigkeit mindestens 22.000 Euro aus #Aserbaidschan erhalten, die sie ja wohl auch nicht abgegeben hat.;2;0;6664;"";negative
Franziska Brantner;fbrantner;TRUE;2018-09-16 12:04:28;Viel Erfolg Gerhard! So eine wichtige Arbeit! https://t.co/08NtVwk8LW;0;6;9508;Heidelberg und Berlin;positive
Andreas Bleck;AndreasBleckMdB;TRUE;2018-06-01 06:58:09;Verstärkte #Grenzkontrollen werte ich als einen Schritt in die richtige Richtung! Die #AfD setzt sich mit aller Kraft für permanente Grenzkontrollen ein! https://t.co/RrmQoi90LC?;38;140;3076;Neuwied, Deutschland;positive
Heiko Maas;HeikoMaas;TRUE;2019-09-12 18:59:29;Das Institut für Zukunftsenergiesysteme (IZES) trägt mit seiner Arbeit dazu bei, dass wir eine lebenswerte Zukunft haben: Es treibt von Saarbrücken aus die globale Energiewende voran. Mir war es eine Ehre, heute zum 20. Jubiläum sprechen zu dürfen. Danke für die wichtige Arbeit!;12;68;407934;Saarlouis/Berlin;positive
Gyde Jensen;gydej;TRUE;2017-09-01 14:00:26;Endlich wieder ein kürzerer Weg zur Arbeit. #GoodJob #DasBestefürSH #Infrastruktur https://t.co/gPARj15eT6;0;2;8311;Kiel;positive
Victor Perli;victorperli;TRUE;2018-06-13 18:10:24;@OlafScholz hat einen Negativrekord im Bundestag aufgestellt. Erst nach 91 Tagen Amtszeit lässt er sich im Haushaltsausschuss blicken. Kein Finanzminister hat sich so viel Zeit gelassen. Dafür haben ihn alle Oppositionsfraktionen gerügt (außer die handzahme AfD). #WoistScholz;1;2;4670;Niedersachsen, Deutschland;negative
Martin Sichert;AfDNbg;TRUE;2019-07-02 07:11:46;Ja es ist schon ein Graus für den Spiegel. Es will einfach nicht klappen, die #AfD bleibt konservative. Der Spiegel sollte sich langsam Mal Gedanken machen, warum seine Verkaufszahlen in den Keller fallen. Mit diesem Gesinnungsjournalismus ist bald kein Brot mehr zuverdienen. https://t.co/r7UtCJIBTU;0;2;1644;Nürnberg, Bayern;negative
Caren Lay;CarenLay;TRUE;2017-09-01 19:03:52;@TobiasSchilling @juliannyca @egobischof @welt Umso schlimmer, dass dann ausgerechnet Nazis zum Kaffeekränzchen geladen werden.;0;2;9655;"";negative
Bernd Siebert;berndsiebert;TRUE;2009-07-17 05:59:16;Bin entsetzt über das widerliche Flugblatt von Chaoten die zur Jagd auf Soldaten aufrufen. http://is.gd/1BQpi #Bild;0;0;1956;Gudensberg, Germany;negative
Mathias Stein;stonie_kiel;TRUE;2020-04-22 09:14:51;"Kanalsteurer am #NOK - können jetzt auch Kurzarbeitergeld bei der @Bundesagentur beantragen - danke @BMAS_Bund &amp; @BMVI für die zügige Reaktion trotz Urteils des Landesarbeitsgerichts SH. 
Dennoch hoffe ich, das der Einbruch am Nord-Ostsee-Kanal nicht so hart wird.
#Coronakrise";0;3;1516;"";positive
Stefan Schmidt;Schmidt_MdB;TRUE;2018-05-08 11:32:25;Dobrindts und Seehofers Aussagen sind ein klarer Angriff gegen unseren #Rechtsstaat! Dass vor allem Innenminister Seehofer den Schwächsten aus Zeit- und Kostengründen das Einspruch- und Klagerecht absprechen will, ist mehr als daneben. @BMI_Bund @CSU https://t.co/Ak8TnWv9Zh;0;2;847;Regensburg, Oberpfalz;negative
Kay Gottschalk;kaygottschalk1;TRUE;2015-07-28 12:44:43;Damit ist die Türkei auf lange Sicht als EU Beitrittskandidat untragbar!;0;0;4238;Hamburg;negative
Sven Lehmann;svenlehmann;TRUE;2019-12-13 07:41:41;Unfassbar: In #NRW ist fast jeder fünfte Mensch arm. Und Schwarz-Gelb will die Arbeitslosenzentren nicht mehr finanzieren. Diese Zentren sind so wichtig. Es ist sozial kalt, gerade Menschen in Armut die oft einzige Anlaufstelle wegzunehmen, @ArminLaschet! https://t.co/5YNEdpMvqf;24;66;14966;Köln/Berlin;negative
Maria Klein-Schmeink;MariaKlSchmeink;TRUE;2019-04-09 05:14:13;@K_SA War eine gute Diskussion gestern. Und dann so ein  Nachthimmel im Gehen. Wunderbar😊;0;3;5775;Münster;positive
Sebastian Hartmann;sebast_hartmann;TRUE;2018-05-05 09:07:17;Herzlichen Dank an die SPD Rhein-Kreis Neuss für die Einladung gestern. Wir sind gerne vorbeigekommen, um uns und unsere Ideen für die NRWSPD vorzustellen. https://t.co/Ntw9ebF5R6;0;3;6901;Rhein-Sieg-Kreis;positive
Agnieszka Brugger;agnieszka_mdb;TRUE;2019-02-03 08:24:25;"Ich bekenne: Ich bin jetzt ein #Grundsatzprogramm Fangirl. So viele tolle Impulse, so viel Begeisterung bei über 400 alten &amp; neuen Mitgliedern, so viel Sinn &amp; so viel Spaß - das war ne sehr coole Nummer von @gruenebw gestern in #Stuttgart! #neuezeitenneueantworten https://t.co/6Vl8wUKx8S";4;35;10783;"";positive
Daniela Kolbe;danielakolbe;TRUE;2018-07-13 19:29:13;@diestimme2 @sozialromantik @SPDSachsen @spdde Schöne einfache Welt, in der sie da leben...welche politischen Kräfte werden es denn Ihrer Meinung nach bewerkstelligen, dass es weniger Armut in D gibt?;0;0;7981;Leipzig und Berlin;negative
