"Qnum";"sentence";"terms";"stopwords";"terms.raw";"sentiws";"sentiws.norm";"polarity";"polarity.norm";"text";"posterms";"negterms";"sentiment";"sentiment.norm";"coder1";"coder2";"coder3";"vote"
"102";" das darf man , wie ich meine , nicht geringschätzen ";3;5;8;0;0;-1;-0.333333333333333;" das darf man , wie ich meine , nicht geringschätzen ";0;1;-1;-0.333333333333333;"Positiv";"Positiv";"Positiv";"Clearly positive"
"1113";" von einigenausnahmen abgesehen haben die meisten der versuchung widerstanden , hier die klassischen klischees zu wiederholen , und sich die mühe gemacht , den tiefgang der debatte im sommer in diesem hause fortzuführen ";19;11;30;-1;-0.0526315789473684;-3;-0.157894736842105;" von einigenausnahmen abgesehen haben die meisten der versuchung widerstanden , hier die klassischen klischees zu wiederholen , und sich die mühe gemacht , den tiefgang der debatte im sommer in diesem hause fortzuführen ";1;4;-3;-0.157894736842105;"Positiv";"Positiv";"Positiv";"Clearly positive"
"1386";" wenn die bundesregierung ihre sorge zum ausdruck gebracht hat , dann ist das schon etwas ";7;7;14;0;0;-1;-0.142857142857143;" wenn die bundesregierung ihre sorge zum ausdruck gebracht hat , dann ist das schon etwas ";0;1;-1;-0.142857142857143;"Positiv";"Positiv";"Positiv";"Clearly positive"
"152";" wissen sie , ich bin da nicht so pingelig ";4;4;8;1;0.25;-2;-0.5;" wissen sie , ich bin da nicht so pingelig ";0;2;-2;-0.5;"Positiv";"Positiv";"Positiv";"Clearly positive"
"172";" das kann so ausgestaltet werden , daß keine steuerbelastung anfällt ";5;4;9;0;0;-1;-0.2;" das kann so ausgestaltet werden , daß keine steuerbelastung anfällt ";0;1;-1;-0.2;"Positiv";"Positiv";"Positiv";"Clearly positive"
"21";" es gibt keinen fachmann in deutschland , weder in der wirtschaft noch in der wissenschaft , der dieses programm nicht für richtig hält ";13;8;21;1;0.0769230769230769;-1;-0.0769230769230769;" es gibt keinen fachmann in deutschland , weder in der wirtschaft noch in der wissenschaft , der dieses programm nicht für richtig hält ";1;2;-1;-0.0769230769230769;"Positiv";"Positiv";"Positiv";"Clearly positive"
"212";" durch aufbauhilfe ist dort eine menge geleistet worden : dörfer sind wieder aufgebaut worden , die kinder dort werden beschult , und es gibt dort keine kindersoldaten mehr ";17;8;25;0;0;0;0;" durch aufbauhilfe ist dort eine menge geleistet worden : dörfer sind wieder aufgebaut worden , die kinder dort werden beschult , und es gibt dort keine kindersoldaten mehr ";0;1;-1;-0.0588235294117647;"Positiv";"Positiv";"Positiv";"Clearly positive"
"321";" (vorsitz : vizepräsidentin susanne kastner ) vor dem hintergrund der verfehlten steuerpolitik der letzten jahre hat auch der antrag der fdp-fraktion , die mehrwertsteuer nicht zu erhöhen , seine volle berechtigung ";19;9;28;-1;-0.0526315789473684;-3;-0.157894736842105;" (vorsitz : vizepräsidentin susanne kastner ) vor dem hintergrund der verfehlten steuerpolitik der letzten jahre hat auch der antrag der fdp-fraktion , die mehrwertsteuer nicht zu erhöhen , seine volle berechtigung ";1;2;-1;-0.0526315789473684;"Positiv";"Positiv";"Positiv";"Clearly positive"
"341";" diese debatten waren notwendig ; ohne sie kann die welle nicht das leisten , was sie leisten soll ";10;7;17;0;0;-3;-0.3;" diese debatten waren notwendig ; ohne sie kann die welle nicht das leisten , was sie leisten soll ";0;2;-2;-0.2;"Positiv";"Positiv";"Positiv";"Clearly positive"
"348";" dagegen haben wir im grundsatz nichts ";3;3;6;0;0;-2;-0.666666666666667;" dagegen haben wir im grundsatz nichts ";0;2;-2;-0.666666666666667;"Positiv";"Positiv";"Positiv";"Clearly positive"
"498";" - bitte sehr , frau kollegin onur ";4;1;5;0;0;0;0;" - bitte sehr , frau kollegin onur ";0;1;-1;-0.25;"Positiv";"Positiv";"Positiv";"Clearly positive"
"553";" der bnd hat im berichtszeitraum schwierige zeiten erleben müssen , die nicht zuletzt durch die persönliche integrität des bisherigen präsidenten durchgestanden werden konnten ";16;6;22;-1;-0.0625;-2;-0.125;" der bnd hat im berichtszeitraum schwierige zeiten erleben müssen , die nicht zuletzt durch die persönliche integrität des bisherigen präsidenten durchgestanden werden konnten ";2;3;-1;-0.0625;"Positiv";"Positiv";"Positiv";"Clearly positive"
