"Qnum";"sentence";"terms";"stopwords";"terms.raw";"sentiws";"sentiws.norm";"polarity";"polarity.norm";"text";"posterms";"negterms";"sentiment";"sentiment.norm";"coder1";"coder2";"coder3";"vote"
"1006";" thomas rachel , parl. staatssekretär bei der bundesministerin für bildung und forschung : herr kollege rossmann , ich bin ein bisschen enttäuscht über ihre wahrnehmung der prozesse ";16;7;23;1;0.0625;1;0.0625;" thomas rachel , parl. staatssekretär bei der bundesministerin für bildung und forschung : herr kollege rossmann , ich bin ein bisschen enttäuscht über ihre wahrnehmung der prozesse ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1014";" können sie das bestätigen , angesichts der heuchelei , die wir heute morgen hier feststellen ";8;5;13;-1;-0.125;0;0;" können sie das bestätigen , angesichts der heuchelei , die wir heute morgen hier feststellen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1040";" deswegen warnen inzwischen sogar cdu-regierte länder vor diesem konzept ";8;1;9;0;0;0;0;" deswegen warnen inzwischen sogar cdu-regierte länder vor diesem konzept ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"11";" wir erleben , wie schrecklich sich der großflächig organisierte handel mit kindern auswirkt : netzwerke von händlern arbeiten sich durch städte , ländliche gebiete und flüchtlingscamps , um kinder und frauen in ihren besitz zu bringen ";21;11;32;0;0;0;0;" wir erleben , wie schrecklich sich der großflächig organisierte handel mit kindern auswirkt : netzwerke von händlern arbeiten sich durch städte , ländliche gebiete und flüchtlingscamps , um kinder und frauen in ihren besitz zu bringen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1145";" oder sind sie etwa ein schweigender haufen ";4;3;7;0;0;0;0;" oder sind sie etwa ein schweigender haufen ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1163";" erstens werden damit - das ist doch ganz klar - die verbraucher irregeführt ";7;4;11;1;0.142857142857143;1;0.142857142857143;" erstens werden damit - das ist doch ganz klar - die verbraucher irregeführt ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1164";" zum teil sind es gerade organisationen , in deren eigenen bereichen in den vergangenen jahren eine manchmal atemberaubende konzentration stattgefunden hat , so daß diese stellungnahmen auch unter diesen gesichtspunkten sehr wohl zu hinterfragen sind ";20;13;33;1;0.05;2;0.1;" zum teil sind es gerade organisationen , in deren eigenen bereichen in den vergangenen jahren eine manchmal atemberaubende konzentration stattgefunden hat , so daß diese stellungnahmen auch unter diesen gesichtspunkten sehr wohl zu hinterfragen sind ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1193";" habe ich es richtig verstanden , daß wir jetzt über zwei stunden dieses thema diskutieren und sich der zuständige arbeits- und sozialminister nicht an das rednerpult stellt , um zu sagen , was er sich eigentlich denkt ";20;13;33;1;0.05;-1;-0.05;" habe ich es richtig verstanden , daß wir jetzt über zwei stunden dieses thema diskutieren und sich der zuständige arbeits- und sozialminister nicht an das rednerpult stellt , um zu sagen , was er sich eigentlich denkt ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"121";" - wir wollen einmal sehen , ob wichtige bundesländer wieder zum teufel oder anderswohin gehen ";8;5;13;1;0.125;0;0;" - wir wollen einmal sehen , ob wichtige bundesländer wieder zum teufel oder anderswohin gehen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1230";" es geht auch hier um wirtschaftliche interessen ; sie kommen nicht darum herum , das einzugestehen ";9;6;15;1;0.111111111111111;2;0.222222222222222;" es geht auch hier um wirtschaftliche interessen ; sie kommen nicht darum herum , das einzugestehen ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1237";" herr staatssekretär , wie ist es um die arbeitsfähigkeit des bundesfinanzministeriums bestellt , wenn nach zwei jahren der öffentlichkeit noch keine verläßlichen zahlen zu der wichtigen frage des umzugs nach berlin präsentiert werden können ?  . ";23;11;34;2;0.0869565217391304;0;0;" herr staatssekretär , wie ist es um die arbeitsfähigkeit des bundesfinanzministeriums bestellt , wenn nach zwei jahren der öffentlichkeit noch keine verläßlichen zahlen zu der wichtigen frage des umzugs nach berlin präsentiert werden können ?  . ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1247";" das ist im grunde genommen die beugung eines minderheitsrechtes , eines verbrieften minderheitsrechtes ";7;5;12;0;0;0;0;" das ist im grunde genommen die beugung eines minderheitsrechtes , eines verbrieften minderheitsrechtes ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1249";" herr kollege ortleb , ist ihnen eigentlich entgangen , daß nach auffassung ihrer partei im bundeshaushalt so viel luft ist , daß sie im nächsten jahr 7 ,5 milliarden dm zur kohlefinanzierung einplanen wollen ?  . ";23;10;33;1;0.0434782608695652;1;0.0434782608695652;" herr kollege ortleb , ist ihnen eigentlich entgangen , daß nach auffassung ihrer partei im bundeshaushalt so viel luft ist , daß sie im nächsten jahr 7 ,5 milliarden dm zur kohlefinanzierung einplanen wollen ?  . ";0;0;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1258";" die gestaltung der abm muß durch die bundesanstalt für arbeit und die träger auf den prüfstand gestellt werden , um sie effizienter gestalten zu können ; denn so , wie es zur zeit läuft , kann es im grunde nicht bleiben ";23;15;38;1;0.0434782608695652;0;0;" die gestaltung der abm muß durch die bundesanstalt für arbeit und die träger auf den prüfstand gestellt werden , um sie effizienter gestalten zu können ; denn so , wie es zur zeit läuft , kann es im grunde nicht bleiben ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1310";" es sind also alles alte hüte , die mir nicht unbekannt sind ";6;5;11;-1;-0.166666666666667;-3;-0.5;" es sind also alles alte hüte , die mir NOT_unbekannt sind ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1313";" trotzdem sollte nicht vergessen werden , daß mit diesem zusatzprotokoll die kleinere lösung angeboten wird ";8;6;14;0;0;-1;-0.125;" trotzdem sollte nicht vergessen werden , daß mit diesem zusatzprotokoll die kleinere lösung angeboten wird ";2;2;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1369";" sind sie nicht mit mir der meinung , daß vor der privatisierung eines so großen brockens mit derartigen goldenen handschlägen die treuhand und die bundesregierung die pflicht und schuldigkeit gehabt hätten , sich über die finanzlage des erwerbers bis ins detail zu erkundigen ?  . ";27;16;43;1;0.037037037037037;-2;-0.0740740740740741;" sind sie nicht mit mir der meinung , daß vor der privatisierung eines so großen brockens mit derartigen goldenen handschlägen die treuhand und die bundesregierung die pflicht und schuldigkeit gehabt hätten , sich über die finanzlage des erwerbers bis ins detail zu erkundigen ?  . ";2;2;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1371";" die politik der bundesregierung merkel wie auch der vorgängerregierung schröder hatte dieses vertrauen nicht verdient ";9;6;15;2;0.222222222222222;1;0.111111111111111;" die politik der bundesregierung merkel wie auch der vorgängerregierung schröder hatte dieses vertrauen NOT_verdient ";1;1;0;0;"Negativ";"Negativ";"Negativ";"Clearly negative"
