"Qnum";"sentence";"terms";"stopwords";"terms.raw";"sentiws";"sentiws.norm";"polarity";"polarity.norm";"text";"posterms";"negterms";"sentiment";"sentiment.norm";"coder1";"coder2";"coder3";"vote"
"1039";" man muß die motivation der beschäftigten als beste kenner der staatlichen verwaltung geradezu hervorlocken ";9;5;14;1;0.111111111111111;1;0.111111111111111;" man muß die motivation der beschäftigten als beste kenner der staatlichen verwaltung geradezu hervorlocken ";1;0;1;0.111111111111111;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1059";" denn die infrastruktur kann nicht mal schnell und günstig umgebaut werden , wenn sich die anforderungen ändern ; das geht wieder nur mit viel zeit und geld ";16;10;26;1;0.0625;1;0.0625;" denn die infrastruktur kann nicht mal schnell und günstig umgebaut werden , wenn sich die anforderungen ändern ; das geht wieder nur mit viel zeit und geld ";2;1;1;0.0625;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1064";" wenn jetzt die durchaus notwendige modernisierung der handwerksordnung in der art und weise , wie sie das vorhaben , betrieben wird , dann werden diejenigen verprellt , die das rückgrat der ausbildung und der arbeitsplätze in deutschland sind ";20;14;34;3;0.15;3;0.15;" wenn jetzt die durchaus notwendige modernisierung der handwerksordnung in der art und weise , wie sie das vorhaben , betrieben wird , dann werden diejenigen verprellt , die das rückgrat der ausbildung und der arbeitsplätze in deutschland sind ";4;0;4;0.2;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1080";" dieser umstand ist sicher maßgeblich dafür verantwortlich , dass weitere ideen und vorschläge nicht mehr zum zuge kamen ";11;6;17;2;0.181818181818182;1;0.0909090909090909;" dieser umstand ist sicher maßgeblich dafür verantwortlich , dass weitere ideen und vorschläge nicht mehr zum zuge kamen ";3;1;2;0.181818181818182;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1092";" das nachlassende wirtschaftswachstum macht ihnen zu schaffen ";5;2;7;2;0.4;2;0.4;" das nachlassende wirtschaftswachstum macht ihnen zu schaffen ";1;0;1;0.2;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1108";" wie glauben sie , sicherstellen zu können , dass die beratungstätigkeit der unabhängigen patientenberatungsstellen auch nach dem 1. januar 2011 sichergestellt werden kann , wo wir doch erst jetzt diesen vorschlag auf den tisch bekommen ";19;12;31;2;0.105263157894737;1;0.0526315789473684;" wie glauben sie , sicherstellen zu können , dass die beratungstätigkeit der unabhängigen patientenberatungsstellen auch nach dem 1. januar 2011 sichergestellt werden kann , wo wir doch erst jetzt diesen vorschlag auf den tisch bekommen ";3;0;3;0.157894736842105;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1115";" wie ist das damit in einklang zu bringen , dass die bundesregierung , obwohl ein planungsauftrag vorhanden ist , sämtliche planungsmittel gestrichen hat ";12;8;20;0;0;1;0.0833333333333333;" wie ist das damit in einklang zu bringen , dass die bundesregierung , obwohl ein planungsauftrag vorhanden ist , sämtliche planungsmittel gestrichen hat ";1;0;1;0.0833333333333333;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1136";" weder den cdu/ csu-fdp-regierungen noch der koalition aus spd und fdp ist es in der vergangenheit gelungen , in westdeutschland eine situation zu schaffen , die frei ist von wohnungsnot ";17;11;28;3;0.176470588235294;1;0.0588235294117647;" weder den cdu/ csu-fdp-regierungen noch der koalition aus spd und fdp ist es in der vergangenheit gelungen , in westdeutschland eine situation zu schaffen , die frei ist von wohnungsnot ";3;1;2;0.117647058823529;"Negativ";"Negativ";"Negativ";"Clearly negative"
"115";" mag für eine klientelpartei wie die fdp möglich sein ";6;3;9;0;0;0;0;" mag für eine klientelpartei wie die fdp möglich sein ";1;0;1;0.166666666666667;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1153";" verehrte kolleginnen und kollegen , stellen wir uns doch einmal wirklich die frage , welches menschenbild hinter solch einer staatsgläubigkeit steht ";12;7;19;1;0.0833333333333333;1;0.0833333333333333;" verehrte kolleginnen und kollegen , stellen wir uns doch einmal wirklich die frage , welches menschenbild hinter solch einer staatsgläubigkeit steht ";1;0;1;0.0833333333333333;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1157";" an den zähnen werden wir , herr geißler , wenn das wahr wird , was sie wollen , den sozialen status der menschen erkennen ";12;8;20;1;0.0833333333333333;0;0;" an den zähnen werden wir , herr geißler , wenn das wahr wird , was sie wollen , den sozialen status der menschen erkennen ";1;0;1;0.0833333333333333;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1208";" er enthält einen wichtigen geänderten punkt - neben vielen anderen - , nämlich die reduzierung der mittel für die armutsbekämpfung verbunden mit einer verrechnung der mittel für den klimaschutz , damit herr niebel in der statistik besser dasteht , ohne für die menschen und die sache wirklich etwas erreicht zu haben ";30;16;46;3;0.1;4;0.133333333333333;" er enthält einen wichtigen geänderten punkt - neben vielen anderen - , nämlich die reduzierung der mittel für die armutsbekämpfung verbunden mit einer verrechnung der mittel für den klimaschutz , damit herr niebel in der statistik besser dasteht , ohne für die menschen und die sache wirklich etwas erreicht zu haben ";4;0;4;0.133333333333333;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1309";" all diese akte mit ihrem kriminellen hintergrund wären nämlich grund genug gewesen , klar und deutlich politische korruption bei der cdu festzumachen ";16;5;21;-1;-0.0625;1;0.0625;" all diese akte mit ihrem kriminellen hintergrund wären nämlich grund genug gewesen , klar und deutlich politische korruption bei der cdu festzumachen ";3;2;1;0.0625;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1334";" wenig später jedoch begann eine große propagandaoffensive von wirtschaft und wissenschaft mit dem ziel , die gerade getroffenen gesetzlichen bestimmungen aufzuweichen ";15;5;20;1;0.0666666666666667;-1;-0.0666666666666667;" wenig später jedoch begann eine große propagandaoffensive von wirtschaft und wissenschaft mit dem ziel , die gerade getroffenen gesetzlichen bestimmungen aufzuweichen ";2;1;1;0.0666666666666667;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1364";" wenn die bundesrepublik aus dieser globalen aufrüstungsdynamik aussteigen will , dann ist mehr gefragt als abrüstungsrhetorik ";10;5;15;1;0.1;1;0.1;" wenn die bundesrepublik aus dieser globalen aufrüstungsdynamik aussteigen will , dann ist mehr gefragt als abrüstungsrhetorik ";1;0;1;0.1;"Negativ";"Negativ";"Negativ";"Clearly negative"
"1382";" können sie akzeptieren , daß beide optionen nicht imstande sind , als alternativen , die gegeneinanderstehen , frieden zu sichern ";9;7;16;3;0.333333333333333;2;0.222222222222222;" können sie akzeptieren , daß beide optionen nicht imstande sind , als alternativen , die gegeneinanderstehen , frieden zu sichern ";3;1;2;0.222222222222222;"Negativ";"Negativ";"Negativ";"Clearly negative"
