pub_date;newspaper;id;file;Code
20.02.2012;Idsteiner Zeitung;ID-60;FILE-1;Sehr negativ
22.12.2011;Berliner Zeitung;ID-72;FILE-2;Eher negativ
19.02.2012;Agence France;ID-37;FILE-3;Neutral
06.01.2012;NA;ID-50;FILE-4;Eher negativ
08.02.2012;NA;ID-98;FILE-5;Neutral
12.01.2012;Rheinische Post;ID-40;FILE-6;Neutral
24.02.2012;Der Tagesspiegel;ID-2;FILE-7;Neutral
11.01.2012;Agence France;ID-97;FILE-8;Neutral
08.03.2012;Agence France;ID-95;FILE-9;Sehr negativ
21.02.2012;NA;ID-9;FILE-10;Neutral
06.01.2012;NA;ID-51;FILE-11;Eher negativ
22.01.2012;Agence France;ID-53;FILE-12;Neutral
13.01.2012;Wormser Zeitung;ID-6;FILE-13;Neutral
18.02.2012;NA;ID-5;FILE-14;Eher positiv
02.02.2012;Spiegel Online;ID-14;FILE-15;Neutral
19.02.2012;Berliner Kurier;ID-38;FILE-16;Sehr negativ
26.12.2011;Agence France;ID-15;FILE-17;Eher negativ
09.03.2012;Idsteiner Zeitung;ID-81;FILE-18;Sehr positiv
14.02.2012;Agence France;ID-26;FILE-19;Neutral
25.01.2012;NA;ID-93;FILE-20;Eher negativ
05.03.2012;Berliner Kurier;ID-35;FILE-21;Sehr negativ
12.01.2012;Aachener Nachrichten;ID-23;FILE-22;Eher negativ
22.01.2012;Agence France;ID-27;FILE-23;Neutral
26.11.2011;WELT ONLINE;ID-30;FILE-24;Eher negativ
14.02.2012;Rheinische Post;ID-74;FILE-25;Neutral
01.02.2012;NA;ID-25;FILE-26;Sehr negativ
24.02.2012;NA;ID-49;FILE-27;Sehr negativ
07.12.2011;Agence France;ID-21;FILE-28;Neutral
26.03.2012;NA;ID-57;FILE-29;Neutral
21.02.2012;Wiesbadener Kurier;ID-43;FILE-30;Neutral
15.01.2012;NA;ID-87;FILE-31;Eher negativ
25.02.2012;WELT ONLINE;ID-36;FILE-32;Eher positiv
04.10.2011;Original text;ID-32;FILE-33;Eher positiv
03.02.2012;Welt Aktuell;ID-68;FILE-34;Sehr negativ
20.12.2011;NA;ID-24;FILE-35;Neutral
06.03.2012;Agence France;ID-47;FILE-36;Eher negativ
28.01.2012;Frankfurter Rundschau;ID-8;FILE-37;Eher negativ
05.01.2012;Wiesbadener Kurier;ID-83;FILE-38;Sehr negativ
