"pub_date";"newspaper";"id";"file"
2012-01-19;"Berliner Zeitung";"ID-94";"FILE-1"
2011-11-26;"Aachener Zeitung";"ID-7";"FILE-2"
2012-02-24;NA;"ID-49";"FILE-3"
2012-03-07;"Berliner Zeitung";"ID-1";"FILE-4"
2012-01-29;"Berliner Kurier";"ID-88";"FILE-5"
2011-12-16;"Die Welt";"ID-91";"FILE-6"
2012-02-17;"Agence France";"ID-34";"FILE-7"
2012-01-12;"Rheinische Post";"ID-40";"FILE-8"
2012-01-22;"Agence France";"ID-53";"FILE-9"
2012-02-02;"Spiegel Online";"ID-14";"FILE-10"
2012-02-19;"Agence France";"ID-37";"FILE-11"
2012-03-07;"Allgemeine Zeitung";"ID-99";"FILE-12"
2012-02-02;NA;"ID-10";"FILE-13"
2011-12-17;NA;"ID-62";"FILE-14"
2012-03-09;"Idsteiner Zeitung";"ID-81";"FILE-15"
2012-02-18;NA;"ID-5";"FILE-16"
2012-01-04;NA;"ID-56";"FILE-17"
2012-03-05;"Aachener Nachrichten";"ID-85";"FILE-18"
2012-01-27;"Die Welt";"ID-96";"FILE-19"
2012-02-09;"Frankfurter Rundschau";"ID-18";"FILE-20"
2012-01-12;"Berliner Zeitung";"ID-69";"FILE-21"
2011-12-07;"Agence France";"ID-21";"FILE-22"
2012-01-28;"Frankfurter Rundschau";"ID-8";"FILE-23"
2012-01-25;NA;"ID-93";"FILE-24"
2012-01-05;"Die Presse";"ID-19";"FILE-25"
2011-12-22;"Berliner Zeitung";"ID-72";"FILE-26"
2012-01-20;NA;"ID-54";"FILE-27"
2012-03-05;"Berliner Kurier";"ID-35";"FILE-28"
2012-01-07;NA;"ID-31";"FILE-29"
2012-01-06;"Usinger Anzeiger";"ID-65";"FILE-30"
2012-02-21;NA;"ID-9";"FILE-31"
2012-03-06;"Agence France";"ID-47";"FILE-32"
2012-02-24;"Der Tagesspiegel";"ID-2";"FILE-33"
2012-04-18;NA;"ID-90";"FILE-34"
2011-10-17;"Agence France";"ID-100";"FILE-35"
2012-01-15;NA;"ID-87";"FILE-36"
2011-11-17;"Wiesbadener Tagblatt";"ID-45";"FILE-37"
2012-02-01;NA;"ID-25";"FILE-38"
2011-12-26;"Agence France";"ID-15";"FILE-39"
2012-02-08;NA;"ID-98";"FILE-40"
2012-01-20;"Giessener Anzeiger";"ID-46";"FILE-41"
2012-01-06;NA;"ID-51";"FILE-42"
2012-01-05;"Welt Aktuell";"ID-64";"FILE-43"
2012-01-09;"Frankfurter Rundschau";"ID-42";"FILE-44"
2012-02-18;NA;"ID-71";"FILE-45"
2012-03-26;NA;"ID-57";"FILE-46"
2012-01-30;NA;"ID-59";"FILE-47"
2011-12-22;"Wiesbadener Kurier";"ID-66";"FILE-48"
2011-11-15;"Agence France";"ID-4";"FILE-49"
2012-03-01;NA;"ID-48";"FILE-50"
2012-01-11;"Agence France";"ID-97";"FILE-51"
2011-12-20;NA;"ID-24";"FILE-52"
2011-10-04;"Original text";"ID-32";"FILE-53"
2011-12-22;"Die Presse";"ID-41";"FILE-54"
2012-01-21;"Berliner Zeitung";"ID-16";"FILE-55"
2012-02-03;"Welt Aktuell";"ID-68";"FILE-56"
2012-03-21;NA;"ID-17";"FILE-57"
2011-12-18;NA;"ID-13";"FILE-58"
2012-01-04;"Wiesbadener Tagblatt";"ID-39";"FILE-59"
2012-02-14;"Agence France";"ID-26";"FILE-60"
2012-02-03;"WELT ONLINE";"ID-70";"FILE-61"
2012-01-05;"Wiesbadener Kurier";"ID-83";"FILE-62"
2011-12-22;NA;"ID-29";"FILE-63"
2012-02-15;"Allgemeine Zeitung";"ID-73";"FILE-64"
2012-03-01;"Giessener Anzeiger";"ID-84";"FILE-65"
2012-03-03;"Usinger Anzeiger";"ID-92";"FILE-66"
