doc_id,twitter_username,twitter_available,twitter_created_at,twitter_full_text_topic,twitter_full_text,twitter_retweet_count,twitter_favorite_count,twitter_followers_count,twitter_location,twitter_word_count,twitter_year,twitter_month,twitter_week,twitter_time_index_month,twitter_time_index_week,twitter_emojis,twitter_hashtags,twitter_tags,label,topic,from,to
ABaerbock15156546001,ABaerbock,TRUE,2018-01-11T07:10:00Z,"Habe mir das Gro Ko-Sondierungspapier zu Klima nochmal genau angeschaut. Krass: De facto wird sogar das Kyoto-Protokoll, der Meilenstein der Klimadiplomatie fuer nichtig erklaert! Frau Merkel, das geht so nicht! Nachbessern! kohleausstieg Klimapolitik","Habe mir das Gro Ko-Sondierungspapier zu Klima nochmal genau angeschaut. Krass: De facto wird sogar das Kyoto-Protokoll, der Meilenstein der Klimadiplomatie fuer nichtig erklaert! Frau Merkel, das geht so nicht! Nachbessern! kohleausstieg",111,233,107693,Brandenburg,32,2018,1,2,5,17,NA,#GroKo|#Klima|#Klimadiplomatie|#Merkel|#kohleausstieg,NA,negative,Klimapolitik,239,251
ABaerbock15210084001,ABaerbock,TRUE,2018-03-14T06:20:00Z,"Auch weltweit sieht man, dass Angela Merkel s Gro Ko 3.0 nicht klimatauglich ist, sondern vielmehr das Pariser Abkommen unterlaeuft. Auch aussenpolitisch fatal. Daher Klimasofortprogramm jetzt auflegen! Klimapolitik","Auch weltweit sieht man, dass Angela Merkel s Gro Ko 3.0 nicht klimatauglich ist, sondern vielmehr das Pariser Abkommen unterlaeuft. Auch aussenpolitisch fatal. Daher Klimasofortprogramm jetzt auflegen!",24,96,107693,Brandenburg,27,2018,3,11,7,26,NA,#Merkel|#GroKo,NA,negative,Klimapolitik,203,215
ABaerbock15216341401,ABaerbock,TRUE,2018-03-21T12:09:00Z,"Der groessten globalen Herausforderung, der Klimakrise, 30 Sek. von 1 Std Regierungserklaerung zu widmen, unterstreicht die groesste Leerstelle im Koalitionsvertrag. Auch sozialpolitisch wird uns das auf die Fuesse fallen. Unter den Klimafolgen leiden gerade die aermsten am meisten. Klimapolitik","Der groessten globalen Herausforderung, der Klimakrise, 30 Sek. von 1 Std Regierungserklaerung zu widmen, unterstreicht die groesste Leerstelle im Koalitionsvertrag. Auch sozialpolitisch wird uns das auf die Fuesse fallen. Unter den Klimafolgen leiden gerade die aermsten am meisten.",39,153,107693,Brandenburg,38,2018,3,12,7,27,NA,#Klimakrise|#Regierungserklaerung|#Koalitionsvertrag,NA,negative,Klimapolitik,284,296
ABaerbock15252349801,ABaerbock,TRUE,2018-05-02T04:23:00Z,"Wir brauchen eine andere Verkehrspolitik - weg von Benzinern und Diesel, hin zu emissionsarmer Mobilitaet. Das ist auch eine soziale Frage. Denn unter schlechter Luft leiden die, die sich die Wohnung an der verkehrsberuhigten Strasse nicht leisten koennen. Verkehrspolitik","Wir brauchen eine andere Verkehrspolitik - weg von Benzinern und Diesel, hin zu emissionsarmer Mobilitaet. Das ist auch eine soziale Frage. Denn unter schlechter Luft leiden die, die sich die Wohnung an der verkehrsberuhigten Strasse nicht leisten koennen.",49,213,94139,Brandenburg,38,2018,5,18,9,33,NA,NA,NA,negative,Verkehrspolitik,25,40
ABaerbock15256297201,ABaerbock,TRUE,2018-05-06T18:02:00Z,"Das ist die Leistung von Hunderten Wahlkaempfern und Politikern im Land, die draussen waren und gezeigt haben, dass sie dicht an dem sind, was die Menschen umtreibt. Und im Konkreten beweisen, wie lebensnah gruene Politik ist. kwsh kow18 Kommunalwahl Kommunalpolitik","Das ist die Leistung von Hunderten Wahlkaempfern und Politikern im Land, die draussen waren und gezeigt haben, dass sie dicht an dem sind, was die Menschen umtreibt. Und im Konkreten beweisen, wie lebensnah gruene Politik ist. kwsh kow18 Kommunalwahl",39,301,107693,Brandenburg,40,2018,5,19,9,34,NA,#kwsh|#kow18|#Kommunalwahl,NA,positive,Kommunalpolitik,251,266
ABaerbock15283779001,ABaerbock,TRUE,2018-06-07T13:25:00Z,"Luise Amtsberg hat heute alles gesagt,was es zum Familiennachzug zu sagen gibt. Wer Integration will, muss Gefluechteten Perspektiven auf ein Zusammenleben mit ihren Familien geben. Das Grundrecht auf Familie darf nicht beschnitten werden. Die Gro Ko macht aber genau das. Integration","Luise Amtsberg hat heute alles gesagt,was es zum Familiennachzug zu sagen gibt. Wer Integration will, muss Gefluechteten Perspektiven auf ein Zusammenleben mit ihren Familien geben. Das Grundrecht auf Familie darf nicht beschnitten werden. Die Gro Ko macht aber genau das.",23,115,107693,Brandenburg,41,2018,6,23,10,38,NA,#Amtsberg|#Familiennachzug|#Integration|#Grundrecht|#GroKo,NA,negative,Integration,84,95
ABaerbock15372868201,ABaerbock,TRUE,2018-09-18T16:07:00Z,"Maassen nun also rechte Hand von Seehofer. Es gibt nicht genug Adjektive um das Drama dieser Grossen Koalition zu beschreiben. Aber ehrlich gesagt, mach ich mir nach heute einfach nur noch mehr Sorgen um die Zukunft unserer Demokratie. Umso mehr gilt: When They Go Low We Go High GroKo","Maassen nun also rechte Hand von Seehofer. Es gibt nicht genug Adjektive um das Drama dieser Grossen Koalition zu beschreiben. Aber ehrlich gesagt, mach ich mir nach heute einfach nur noch mehr Sorgen um die Zukunft unserer Demokratie. Umso mehr gilt: When They Go Low We Go High",355,1856,107693,Brandenburg,42,2018,9,38,13,53,NA,#Maassen|#Seehofer|#WhenTheyGoLowWeGoHigh,NA,negative,GroKo,280,285
ABaerbock15435904201,ABaerbock,TRUE,2018-11-30T15:07:00Z,"Ob Kohleausstieg, CO2-Preis, Verkehrswende oder die Einhaltung eigener CO2-Minderungsziele. Beim Klimaschutz hakt es in Deutschland an allen Ecken und Enden. Das muss sich dringend aendern. COP24 Klimapolitik","Ob Kohleausstieg, CO2-Preis, Verkehrswende oder die Einhaltung eigener CO2-Minderungsziele. Beim Klimaschutz hakt es in Deutschland an allen Ecken und Enden. Das muss sich dringend aendern. COP24",26,126,107693,Brandenburg,27,2018,11,48,15,63,NA,#Klimaschutz|#COP24,NA,negative,Klimapolitik,196,208
ABaerbock15485148001,ABaerbock,TRUE,2019-01-26T15:00:00Z,"Ein wirkliches Recht auf Information zum Schwangerschaftsabbruch fuer alle Frauen sowie Rechtssicherheit fuer Aerztinnen Aerzte sollte selbstverstaendlich sein! In 30 Staedten sind wir Frauen heute auf der Strasse, damit es endlich kommt. wegmit219a mybodymychoice Selbstbestimmungsgesetz","Ein wirkliches Recht auf Information zum Schwangerschaftsabbruch fuer alle Frauen sowie Rechtssicherheit fuer Aerztinnen Aerzte sollte selbstverstaendlich sein! In 30 Staedten sind wir Frauen heute auf der Strasse, damit es endlich kommt. wegmit219a mybodymychoice",29,200,107693,Brandenburg,37,2019,1,4,17,72,NA,#wegmit219a|#mybodymychoice,@GrueneBundestag,positive,Selbstbestimmungsgesetz,265,288
ABaerbock15514725001,ABaerbock,TRUE,2019-03-01T20:35:00Z,", Natascha Nicklaus + kaempfen fuer etwas das groesser ist als ein Bulletpoint auf ihrer Praxis Website. Sie kaempfen fuer das Selbstbestimmungsrecht von uns Frauen. Dafuer gibts zu Recht den Anne Klein Frauenpreis der Trustwomen wegmit219a Selbstbestimmungsgesetz",", Natascha Nicklaus + kaempfen fuer etwas das groesser ist als ein Bulletpoint auf ihrer Praxis Website. Sie kaempfen fuer das Selbstbestimmungsrecht von uns Frauen. Dafuer gibts zu Recht den Anne Klein Frauenpreis der Trustwomen wegmit219a",7,59,107693,Brandenburg,37,2019,3,9,19,77,NA,#Selbstbestimmungsrecht|#AnneKleinFrauenpreis|#Trustwomen|#wegmit219a,@haenel_kh|@NoraSzasz1|@boell_stiftung,positive,Selbstbestimmungsgesetz,241,264
