last_name;first_name;wahlkreis_name;party;bundesland;unemployment_rate;share_pop_migration;username;followers_count;created_at;full_text;favorite_count;retweet_count;label
Buchholz;Christine;Offenbach;linke;Hessen;6.6;36.8;ch_buchholz;8837;2017-10-09T07:33:00Z;"Mit ihrer “#Obergrenze” spielt die Union Rassisten in die Hände. Rechte Hetze ist das Problem, nicht Flüchtlinge.
https://t.co/PgHOCjnbrH";153;50;negative
Wendt;Marian;Nordsachsen;cdu_csu;Sachsen;8.4;2.7;MdbWendt;2413;2017-10-20T10:42:00Z;Die Idee des Radwegs entlang der S31 unterstütze ich zum Ausbau der touristischen Infrastruktur und zur... https://t.co/gLDJNOR90p;1;0;positive
Lenz;Dr. Andreas;Erding – Ebersberg;cdu_csu;Bayern;2;14.7;DerLenzMdB;10073;2017-10-23T12:36:00Z;Ich bin der Meinung, dass das jüngste Mitglied des #Bundestages bei der Konstituierung auch sprechen sollte.. diese Chance wurde vertan..;23;1;negative
Bleck;Andreas;Neuwied;afd;Rheinland-Pfalz;5.3;20.6;AndreasBleckMdB;3253;2017-11-16T15:33:00Z;Peinlich für die Grünen: Einige dieser Staaten, die den #Kohleausstieg wollen, setzen auf die Kernenergie. Entscheidet euch endlich! Ein gleichzeitiger Ausstieg aus der fossilen Energie und Kernenergie ist auf absehbare Zeit nicht möglich! https://t.co/vSkVxEDktD;108;38;negative
Riexinger;Bernd;Stuttgart II;linke;Baden-Wuerttemberg;5;38.6;b_riexinger;38584;2017-11-27T14:39:00Z;Zustimmung Deutschlands in der EU für #glyphosate ist eine Sauerei. Diese muss zurückgenommen werden. Unabgestimmte Alleingänge müssen Konsequenzen haben. Geschäftsführende Regierung darf keine weitreichenden Entscheidung ohne politisches Mandat vornehmen.;449;153;negative
Büttner;Matthias;Altmark;afd;Sachsen-Anhalt;9.9;2.9;Buettner_MdB;2385;2017-11-29T15:38:00Z;"Tat von #Altena ist schändlich &amp; verachtenswert. Punkt. Keine Frage.
Jetzt aber so zu tun, als ob ausgerechnet Politiker am stärksten gefährdet seien, ist blanker Hohn!
Wer schützt die Bürger, die sich tagtäglich Gewalt ausgesetzt sehen?
#AfD #Maischberger
https://t.co/T6sfSk1myT";505;204;negative
Hess;Martin;Ludwigsburg;afd;Baden-Wuerttemberg;3.5;29;Martin_Hess_AfD;6574;2017-12-01T18:30:00Z;"Auch die kriminellen Clans kamen einst als #Flüchtlinge nach Deutschland. Heute beherrschen sie nicht nur Prostitution, Drogenhandel und Glücksspiel. Sie unterwandern auch die öffentlichen Institutionen. Wir müssen jetzt gegensteuern, sonst ist es zu spät!
https://t.co/tqn7BaXHiv";41;28;negative
Schulz;Uwe;Gießen;afd;Hessen;5.8;22.2;Uwe_Schulz_AfD;1281;2017-12-03T19:37:00Z;Gratulation #KayGottschalk zur Wahl #Stellvertretenden #AfD #BundesVorsitzenden! Wir dürfen die #Gerechtigkeitsfrage in Sozial-, Arbeits- und Steuerpolitik nicht den Altparteien überlassen und sind auch hier die Alternative zum Kartell. #AfD #Partei aller Im-stich-gelassenen!;0;1;positive
Post (Minden);Achim;Minden-Lübbecke I;spd;Nordrhein-Westfalen;5.3;23.9;achim_p;3236;2017-12-04T17:02:00Z;Die @spdbt hat heute ihren Fraktionsvorstand gewählt. Zukünftig werde ich als stellv. Fraktionsvorsitzender für den Bereich „Europa und wirtschaftliche Zusammenarbeit“ verantwortlich sein. Ich freue mich auf meine zukünftige Arbeit für die Fraktion. https://t.co/Q1UfhuMPYs https://t.co/YUcL0LjwWy;51;7;positive
Hess;Martin;Ludwigsburg;afd;Baden-Wuerttemberg;3.5;29;Martin_Hess_AfD;6574;2017-12-10T11:05:00Z;"Die #Polizei leistet hervorragende Arbeit, wenn die Politik sich hinter sie stellt und klare Vorgaben macht, anstatt ihr ständig zu misstrauen und ihren Aktionsradius einzuschränken. #Breitscheidplatz #AnisAmri 
https://t.co/Cn28OPGlUC";9;5;positive
Maier;Jens;Dresden I;afd;Sachsen;7.1;7.3;JensMaierAfD;6108;2017-12-11T06:56:00Z;Mehr Straftaten + mehr gewalttätige Migranten + mehr als 10.000 Salafisten = Sicheres Deutschland. Das Einzige, das in Deutschland sicher ist wie das Amen in der Kirche, ist die #Überheblichkeit der politischen Klasse. https://t.co/p35YCjSe1z;38;18;negative
Hess;Martin;Ludwigsburg;afd;Baden-Wuerttemberg;3.5;29;Martin_Hess_AfD;6276;2017-12-11T09:47:00Z;Radikalisierung findet immer öfter in privaten und virtuellen Netzwerken statt. Der Staat muss sich darauf einstellen: salafistische Gefährder überwachen und bei Straftaten abschieben oder längerfristig die Freiheit entziehen! https://t.co/4Wjwe10ckC;5;2;negative
Hess;Martin;Ludwigsburg;afd;Baden-Wuerttemberg;3.5;29;Martin_Hess_AfD;6574;2017-12-11T09:47:00Z;Radikalisierung findet immer öfter in privaten und virtuellen Netzwerken statt. Der Staat muss sich darauf einstellen: salafistische Gefährder überwachen und bei Straftaten abschieben oder längerfristig die Freiheit entziehen! https://t.co/4Wjwe10ckC;4;1;negative
Storch;Beatrix von;Berlin-Mitte;afd;Berlin;9.4;24.1;Beatrix_vStorch;61329;2017-12-11T13:26:00Z;Da sich nun de Maizière, Maas, #Merkel und sogar ihr Reg.-sprecher gegen 'alle Arten von Antisemitismus' ausgesprochen haben, werden wir jetzt deren Zitate überall im #Staatsfunk finden. Merke: Nicht das Ereignis macht für den Staatsfunk die Nachricht, sondern wer es kommentiert. https://t.co/a6bOS8EgpF;299;112;negative
