Name,Partei,Wahlart,Bundesland,Wahlkreis,Wahlkreis-Nr.,Ausschuesse,Biografie,Twitter,Ausschusspositionen,Geburtsjahr
"Abercron, Dr. Michael von",CDU/CSU,Direkt gewählt,Schleswig-Holstein,Pinneberg,7,"{'Ordentliches Mitglied': ['Ausschuss für Ernährung und Landwirtschaft', 'Ausschuss für Bildung, Forschung und Technikfolgenabschätzung'], 'Stellvertretendes Mitglied': ['Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit']}","        Geboren am 17. November 1952 in Ehlerstorf; evangelisch-lutherisch; verheiratet; zwei Kinder.
        Abitur 1972 in Lübeck; zwei Jahre Wehrdienst bei der Marine; Studium der Agrarwissenschaft mit abschließender Promotion; danach Tätigkeit in der chemischen Industrie bei der Ciba-Geigy GmbH sowie Leiter der Pressestelle des landwirtschaftlichen Forschungsverbandes VDULFA e.V. und Geschäftsführer des Wirtschaftsrates der CDU in Schleswig-Holstein;Danach hauptamtliche Funktionen in der CDU und ihrer Landtagsfraktion. Seit 2005 Angestellter im Landesdienst in Schleswig-Holstein. Von 2009 bis 2012 Mitglied des Schleswig-Holsteinischen Landtages.",mvabercron,"['Ausschuss für Ernährung und Landwirtschaft', 'Ausschuss für Bildung, Forschung und Technikfolgenabschätzung', 'Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit']",1952
"Achelwilm, Doris",Die Linke,Gewählt über Landesliste,Bremen,,,"{'Ordentliches Mitglied': ['Ausschuss für Familie, Senioren, Frauen und Jugend'], 'Stellvertretendes Mitglied': ['Ausschuss für Kultur und Medien']}","        Geboren am 30. November 1976 in Thuine; ledig.
        1996 Allgemeine Hochschulreife; anschließend Studium an der Leibniz Universität Hannover und Einstieg in den (Kultur-) Journalismus; seit 2007 Pressesprecherin der Fraktion DIE LINKE in der Bremischen Bürgerschaft; seit der Zeit auch aktiv bei der LINKEN. Bremen in verschiedenen Arbeitskreisen und Gremien; seit 2012 Mitglied im Rundfunkrat von Radio Bremen; seit 2013 Landessprecherin der LINKEN. Bremen. ",DorisAchelwilm,"['Ausschuss für Familie, Senioren, Frauen und Jugend', 'Ausschuss für Kultur und Medien']",1976
"Aggelidis, Grigorios",FDP,Gewählt über Landesliste,Niedersachsen,Hannover-Land I,43,"{'Ordentliches Mitglied': ['Kuratorium der Bundeszentrale für politische Bildung', 'Unterausschuss Bürgerschaftliches Engagement', 'Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit', 'Ausschuss für Familie, Senioren, Frauen und Jugend'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Deutsch-Griechische Parlamentariergruppe']}","        Geboren am 19. August 1965 in Hannover; griechisch-orthodox; verheiratet; zwei Kinder.
        Februar 1987 bis Januar 1989 Ausbildung zum Bankkaufmann bei der Dresdner Bank AG.Februar 1989 bis Juni 1993 Tätigkeit bei der Dresdner Bank AG; Juli 1993 bis Juni 2001 Dresdner Vermögensberatungs GmbH; August 2001 bis April 2008 Credit Suisse Deutschland AG; seit Mai 2008 Angestellter bei der Geneon-Vermögen AG Hamburg; seit Dezember 2010 MitinhaberVorstandsmitglied des Jugendfördervereins Neustädter Land; seit 2010 Mitglied der Rotarier Nienburg / Neustadt; veranwortliches Vorstandsmitglied für Jugendarbeit; seit 2011 Vorsitzender FC Wacker Neustadt v. 1912.Seit Februar 2012 FDP Mitglied; Januar 2016 bis Juni 2017 Schatzmeister der FDP Neustadt am Rübenberge.",aggelidis_fdp,"['Kuratorium der Bundeszentrale für politische Bildung', 'Unterausschuss Bürgerschaftliches Engagement', 'Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit', 'Ausschuss für Familie, Senioren, Frauen und Jugend']",1965
"Akbulut, Gökay",Die Linke,Gewählt über Landesliste,Baden-Württemberg,Mannheim,275,"{'Ordentliches Mitglied': ['Schriftführer/in', 'Ausschuss für Recht und Verbraucherschutz', 'Unterausschuss Europarecht'], 'Stellvertretendes Mitglied': ['Wahlausschuss', 'Ausschuss für Inneres und Heimat', 'Ausschuss für Familie, Senioren, Frauen und Jugend'], 'Stellvertretendes Mitglied (sonstige Gremien)': ['Parlamentarische Versammlung des Europarates']}","Geboren 1982 in Pinarbasi/ Türkei; ledig.Juni 2003 Abitur Gymnasium Hamm Hamburg; Oktober 2003 bis September 2008 Studium Ruprecht-Karls-Universität Heidelberg, Politische Wissenschaft, Soziologie und Öffentliches Recht; Auslandssemester an der Concordia University of Montreal, Canada; Praktika: 2007 Vereinte Nationen, Hauptquartier New York City USA, 2006 Abgeordnetenbüro DIE LINKE Deutscher Bundestag, Berlin; Aushilfstätigkeiten als Kellnerin und Call-Center Mitarbeiterin.2010 bis 2011 sozialpädagogische Betreuung von benachteiligten Jugendlichen, Bildungsträger Berlin; 2011 bis 2015 Projektmitarbeiterin ESF Projekt ""Übergang Schule Beruf für SchülerInnen mit Migrationshintergrund"", Jugendagentur eG Heidelberg; 2012 bis 2016 freiberufliche Dozentin, Mannheimer Abendakademie und Volkshochschule GmbH Mannheim; 2016 bis 2017 Referentin für Migration und Bildung Rosa-Luxemburg Stiftung Baden-Württemberg, Stuttgart.Ehrenamt: Seit Mai 2014 Gemeinderätin für die Die Linke in Mannheim; Ausschüsse und Gremien: Ausschuss für Sicherheit und Ordnung, Ausschuss für Bildung und Gesundheit, Integrationsausschuss; Mitgliedschaften: GEW, Rosa-Luxemburg-Stiftung Baden-Württemberg, attac, Mehr Demokratie e.V., Landesarbeitsgesmeinschaft Frauen der LINKE Baden-Württemberg.",akbulutgokay,"['Schriftführer/in', 'Ausschuss für Recht und Verbraucherschutz', 'Unterausschuss Europarecht', 'Wahlausschuss', 'Ausschuss für Inneres und Heimat', 'Ausschuss für Familie, Senioren, Frauen und Jugend']",1982
"Albani, Stephan",CDU/CSU,Gewählt über Landesliste,Niedersachsen,Oldenburg – Ammerland,27,"{'Ordentliches Mitglied': ['Ausschuss für Bildung, Forschung und Technikfolgenabschätzung', 'Enquete-Kommission „Berufliche Bildung“', 'Projektgruppe 4 der Enquete Berufliche Bildung', 'Projektgruppe 1 der Enquete Berufliche Bildung'], 'Stellvertretendes Mitglied': ['Unterausschuss Globale Gesundheit', 'Ausschuss für Arbeit und Soziales', 'Ausschuss für Gesundheit'], 'Vorsitz (sonstige Gremien)': ['Deutsch-Irische Parlamentariergruppe']}","Geboren am 3. Juni 1968 in Göttingen; verheiratet; drei Kinder.1987 Abitur in Göttingen; Studium der Physik von 1989 bis 1994 in Göttingen; Diplom-Physiker.Seit 1996 geschäftsführender Gesellschafter der Hörzentrum GmbH Oldenburg; seit 2001 Geschäftsführer der HörTech gGmbH Oldenburg.Vizepräsident im Bundesverband für Wirtschaftsförderung und Außenwirtschaft-Global Economic Network e.V. (BWA), Vorstandsmitglied GewiNet Kompetenzzentrum Gesundheitswirtschaft e.V. Osnabrück; Mitglied in der Gesellschaft zum Studium strukturpolitischer Fragen e.V.; Mitglied im Bundeswehr-Sozialwerk e.V.; Mitglied im Freundeskreis ""Korvette  Oldenburg"" e.V. Oldenburg; Mitglied im Verband der Reservisten der Deutschen Bundeswehr e.V.Stellvertretender Vorsitzender im CDU-Kreisverband Ammerland; stellvertretender Vorsitzender im CDU-Gemeindeverband Bad Zwischenahn; stellvertretender Vorsitzender Mittelstands- und Wirtschaftsvereinigung (MIT) Landesverband Oldenburg; Vorsitzender Mittelstands- und Wirtschaftsvereinigung (MIT) Kreisverband Ammerland; Vorsitzender im Fachausschuss ""Wissenschaft, Kultur, Kirche"" des CDU Landesverbandes Oldenburg; Mitglied im Landesfachausschuss ""Gesundheit"" des CDU Landesverbandes Niedersachsen; Mitglied im Landesfachausschuss ""Wissenschaft und Kultur"" des CDU-Landesverbandes Niedersachsen; Mitglied im Bundesfachausschuss ""Bildung, Forschung und Innovationen"" der CDU-Deutschland.Seit 2013 Mitglied des Bundestages; Mitglied im Ausschuss für Bildung Forschung und Technikfolgenabschätzung; Mitglied in der Arbeitgruppe ""Bildung und Forschung"" der CDU/CSU-Fraktion; Vorsitzender der Parlamentariergruppe SADC-Staaten (Afrika); Vorsitzender der Eurasien Parliamentary Group on Tuberculosis (EPGTB); Beiratsmitglied im Parlamentarischen Beirat für Bevölkerung und Entwicklung der Deutschen Stiftung Weltbevölkerung (DSW).",,"['Ausschuss für Bildung, Forschung und Technikfolgenabschätzung', 'Enquete-Kommission „Berufliche Bildung“', 'Projektgruppe 4 der Enquete Berufliche Bildung', 'Projektgruppe 1 der Enquete Berufliche Bildung', 'Unterausschuss Globale Gesundheit', 'Ausschuss für Arbeit und Soziales', 'Ausschuss für Gesundheit']",1968
"Alt, Renata",FDP,Gewählt über Landesliste,Baden-Württemberg,Nürtingen,262,"{'Obfrau': ['Unterausschuss für Zivile Krisenprävention, Konfliktbearbeitung und vernetztes Handeln'], 'Ordentliches Mitglied': ['Unterausschuss für Zivile Krisenprävention, Konfliktbearbeitung und vernetztes Handeln', 'Auswärtiger Ausschuss'], 'Stellvertretendes Mitglied': ['Ausschuss für Gesundheit', 'Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung'], 'Stellvertretendes Mitglied (sonstige Gremien)': ['Parlamentarische Versammlung der OSZE', 'Interparlamentarische Konferenz für die Gemeinsame Außen- und Sicherheitspolitik und die Gemeinsame Sicherheits- und Verteidigungspolitik', 'Parlamentarische Versammlung der Union für den Mittelmeerraum (PV-UfM)'], 'Vorsitz (sonstige Gremien)': ['Parlamentariergruppe Slowakei-Tschechien-Ungarn'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Deutsch-Südosteuropäische Parlamentariergruppe']}","        Geboren am 27. August 1965 in Skalica; konfessionslos; verheiratet.
        Arbeitete 1991 im Außenhandelsministerium in Prag (Tschechien) in der Abteilung Europa und EWG (EU). 1992 wurde sie vom Auswärtigen Amt in Prag als Diplomatin nach Deutschland entsandt - akkreditiert vom Außenminister Dr. Klaus Kinkel. Im selben Jahr war sie Wirtschaftsattaché im Generalkonsulat der Tschechoslowakischen Republik in München. 1993 war sie Wirtschaftsattaché im Generalkonsulat der Slowakischen Republik in München. Seit 1994 bis heute arbeitet Renata Alt im Consulting im Bereich Außenhandel /Außenbeziehungen. Seit 1997 ist sie zudem wissenschaftliche Beraterin im Bereich Gesundheit - Lebensmittelchemie, Ernährungswissenschaft, Biotechnologie und Biochemie.2009 trat sie in die FDP ein. Seit 2015 ist sie Mitglied im Landevorstand der FDP BW. Sie ist Mitglied im FDP-BFA Int.Politik, Vizevorsitzende der Liberalen Frauen Baden-Württemberg und Stadträtin im Gemeinderat in Kirchheim u. Teck.",RenataAlt_MdB,"['Unterausschuss für Zivile Krisenprävention, Konfliktbearbeitung und vernetztes Handeln', 'Auswärtiger Ausschuss', 'Ausschuss für Gesundheit', 'Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung', 'Unterausschuss für Zivile Krisenprävention, Konfliktbearbeitung und vernetztes Handeln']",1965
"Altenkamp, Norbert",CDU/CSU,Direkt gewählt,Hessen,Main-Taunus,181,"{'Ordentliches Mitglied': ['Schriftführer/in', 'Ausschuss für Menschenrechte und humanitäre Hilfe', 'Ausschuss für Bildung, Forschung und Technikfolgenabschätzung'], 'Stellvertretendes Mitglied': ['Ausschuss für Arbeit und Soziales', 'Petitionsausschuss']}","        Geboren am 27. Juli 1972 in Marl/Westfalen; römisch-katholisch; verheiratet; zwei Kinder.
        Abitur an der Hans-Böckler-Kollegschule, Zweig Höhere Handelsschule; Bankausbildung bei der Dresdner Bank AG.; Studium der Volkswirtschaftslehre an der an der Westfälischen Wilhelms Universität in Münster. Abschluss Diplom-Volkswirt im Jahr 2000;Fraktionsreferent der CDU Kreistagsfraktion im Kreis Recklinghausen; Fachreferent für Wirtschafts- und Strukturpolitik im Büro des Landrates des Kreises Recklinghausen;Eintritt in die CDU im Jahre 1990 und Mitglied der Jungen Union seit 1991;Von 2004 bis 2017 Bürgermeister der Stadt Bad Soden am Taunus; Mitglied des Kreistages Main-Taunus, Vorsitzender des Haupt- und Finanzausschusses; Mitglied der Regionalversammlung Südhessen.",,"['Schriftführer/in', 'Ausschuss für Menschenrechte und humanitäre Hilfe', 'Ausschuss für Bildung, Forschung und Technikfolgenabschätzung', 'Ausschuss für Arbeit und Soziales', 'Petitionsausschuss']",1972
"Altmaier, Peter",CDU/CSU,Direkt gewählt,Saarland,Saarlouis,297,{'Bundesminister für Wirtschaft und Energie': []},"Geboren am 18. Juni 1958 in Ensdorf, Saar; katholisch.1978 Abitur, danach Grundwehrdienst; 1980 bis 1985 Studium der Rechtswissenschaft an der Universität des Saarlandes in Saarbrücken; 1985 erstes und 1988 zweites juristisches Staatsexamen; 1985 bis 1986 Aufbaustudium ""Europäische Integration"", Zertifikat über Europäische Studien.1985 bis 1987 wissenschaftlicher Mitarbeiter am Lehrstuhl für Staats- und Völkerrecht an der Universität des Saarlandes; 1988 bis 1990 wissenschaftlicher Mitarbeiter am Europa-Institut der Universität des Saarlandes; seit 1990 Beamter der Europäischen Kommission, dabei von 1993 bis 1994 Generalsekretär der EG-Verwaltungskommission für die soziale Sicherheit der Wanderarbeitnehmer; seit 1994 beurlaubt.1974 Eintritt in die Junge Union, 1976 Eintritt in die CDU; 1988 bis 1990 Landesvorsitzender der Jungen Union Saar; 2000 bis 2008 Kreisvorsitzender der CDU Saarlouis; 2006 bis 2010 Präsident der Europa-Union Deutschland, seitdem Ehrenpräsident.Mitglied des Bundestages seit 1994; 2004 bis 2005 Justiziar der CDU/CSU-Bundestagsfraktion; November 2005 bis Oktober 2009 Parlamentarischer Staatssekretär beim Bundesminister des Innern; 27. Oktober 2009 bis 22. Mai 2012 erster Parlamentarischer Geschäftsführer; Mai 2012 bis Dezember 2013 Bundesminister für Umwelt, Naturschutz und Reaktorsicherheit, 2013 bis März 2018 Chef des Bundeskanzleramtes und Bundesminister für besondere Aufgaben, vom 24. Oktober 2017 bis März 2018 geschäftsführender Bundesminister der Finanzen; seit März 2018 Bundesminister für Wirtschaft und Energie.",peteraltmaier,[],1958
"Amthor, Philipp",CDU/CSU,Direkt gewählt,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,16,"{'Ordentliches Mitglied': ['Ausschuss für Inneres und Heimat', 'Ausschuss für die Angelegenheiten der Europäischen Union'], 'Stellvertretendes Mitglied': ['Ausschuss für Recht und Verbraucherschutz', '1. Untersuchungsausschuss']}","        Geboren am 10. November 1992 in Ueckermünde.
        2011 Abitur am Greifen-Gymnasium Ueckermünde; 2012 bis 2017 Studium der Rechtswissenschaften an der Ernst-Moritz-Arndt Universität Greifswald (Studienabschluss mit Prädikat), Stipendiat der Konrad-Adenauer-Stiftung, Kollegiat am Jungen Kolleg des Alfried Krupp Wissenschaftskollegs; nebenberuflich u.a. Mitarbeiter verschiedener Abgeordneter des Deutschen Bundestages und des Landtages Mecklenburg-Vorpommern; seit 2017 Doktorand und wissenschaftlicher Mitarbeiter an der Ernst-Moritz-Arndt-Universität Greifswald und zugleich Mitarbeiter einer internationalen Wirtschaftskanzlei in Berlin.Seit 2008 Mitglied der CDU und der Jungen Union; seit 2010 Mitglied im Landesvorstand der Jungen Union Mecklenburg-Vorpommern; seit 2012 Kreisvorsitzender der Jungen Union Vorpommern-Greifswald; seit 2014 Mitglied des Sozialausschusses des Kreistages Vorpommern-Greifswald; seit 2017 Vorsitzender des CDU-Stadtverbandes Ueckermünde. ",,"['Ausschuss für Inneres und Heimat', 'Ausschuss für die Angelegenheiten der Europäischen Union', 'Ausschuss für Recht und Verbraucherschutz', '1. Untersuchungsausschuss']",1992
"Amtsberg, Luise",Bündnis 90/Die Grünen,Gewählt über Landesliste,Schleswig-Holstein,Kiel,5,"{'Ordentliches Mitglied': ['Ausschuss für Inneres und Heimat'], 'Stellvertretendes Mitglied': ['Ausschuss für Menschenrechte und humanitäre Hilfe'], 'Ordentliches Mitglied (sonstige Gremien)': ['Parlamentarische Versammlung des Europarates'], 'Stellvertretender Vorsitz (sonstige Gremien)': ['Deutsch-Türkische Parlamentariergruppe']}","Geboren am 17. Oktober 1984 in Greifswald.2004 bis 2013 Magisterstudium der Islamwissenschaft, Politikwissenschaft und evangelischen Theologie an der Christian-Albrechts-Universität zu Kiel.2009 bis 2012 Abgeordnete des schleswig-holsteinischen Landtages; 2012 bis 2013 Vorsitzende von Bündnis 90/Die Grünen in Kiel.",,"['Ausschuss für Inneres und Heimat', 'Ausschuss für Menschenrechte und humanitäre Hilfe']",1984
