"","oldnames","newnames"
"1","Name","Name"
"2","Jahr","Jahr"
"3","Monat","Monat"
"4","Twitter_Username","Twitter_Username"
"5","Tweets_Dokument","Tweets_Dokument"
"6","Anzahl_Follower","Anzahl_Follower"
"7","Partei","Partei"
"8","Wahlart","Wahlart"
"9","Bundesland","Bundesland"
"10","Wahlkreis","Wahlkreis"
"11","Wahlkreis_Nr","Wahlkreis_Nr"
"12","Ausschusspositionen","Ausschusspositionen"
"13","Geburtsjahr","Geburtsjahr"
"14","Gemeinden am 31.12.2015 (Anzahl)","Struktur_1"
"15","Fläche am 31.12.2015 (km²)","Struktur_2"
"16","Bevölkerung am 31.12.2015 - Insgesamt (in 1000)","Struktur_3"
"17","Bevölkerung am 31.12.2015 - Ausländer (%)","Struktur_4"
"18","Bevölkerungsdichte am 31.12.2015 (Einwohner je km²)","Struktur_5"
"19","Zu- (+) bzw. Abnahme (-) der Bevölkerung 2015 - Geburtensaldo (je 1000 Einwohner)","Struktur_6"
"20","Zu- (+) bzw. Abnahme (-) der Bevölkerung 2015 - Wanderungssaldo (je 1000 Einwohner)","Struktur_7"
"21","Alter von ... bis ... Jahren am 31.12.2015 - unter 18 (%)","Struktur_8"
"22","Alter von ... bis ... Jahren am 31.12.2015 - 18-24 (%)","Struktur_9"
"23","Alter von ... bis ... Jahren am 31.12.2015 - 25-34 (%)","Struktur_10"
"24","Alter von ... bis ... Jahren am 31.12.2015 - 35-59 (%)","Struktur_11"
"25","Alter von ... bis ... Jahren am 31.12.2015 - 60-74 (%)","Struktur_12"
"26","Alter von ... bis ... Jahren am 31.12.2015 - 75 und mehr (%)","Struktur_13"
"27","Zensus 2011, Bevölkerung nach Migrationshintergrund am 09.05.2011 - mit Migrationshintergrund (%)","Struktur_14"
"28","Zensus 2011, Bevölkerung nach Religionszugehörigkeit am 09.05.2011 - Römisch-katholische Kirche (%)","Struktur_15"
"29","Zensus 2011, Bevölkerung nach Religionszugehörigkeit am 09.05.2011 - Evangelische Kirche (%)","Struktur_16"
"30","Zensus 2011, Bevölkerung nach Religionszugehörigkeit am 09.05.2011 - Sonstige, keine, ohne Angabe (%)","Struktur_17"
"31","Zensus 2011, Wohnungen in Wohngebäuden am 09.05.2011 - Eigentümerquote","Struktur_18"
"32","Bautätigkeit und Wohnungswesen - Fertiggestellte Wohnungen 2014 (je 1000 Einwohner)","Struktur_19"
"33","Bautätigkeit und Wohnungswesen - Bestand an Wohnungen am 31.12.2015 (je 1000 Einwohner)","Struktur_20"
"34","Verfügbares Einkommen der privaten Haushalte 2014 (<U+0080> je Einwohner)","Struktur_21"
"35","Bruttoinlandsprodukt 2014 (<U+0080> je Einwohner)","Struktur_22"
"36","Kraftfahrzeugbestand am 01.01.2016 (je 1000 Einwohner)","Struktur_23"
"37","Absolventen/Abgänger beruflicher Schulen 2015","Struktur_24"
"38","Absolventen/Abgänger allgemeinbildender Schulen 2015 - insgesamt ohne Externe (je 1000 Einwohner)","Struktur_25"
"39","Absolventen/Abgänger allgemeinbildender Schulen 2015 - ohne Hauptschulabschluss (%)","Struktur_26"
"40","Absolventen/Abgänger allgemeinbildender Schulen 2015 - mit Hauptschulabschluss (%)","Struktur_27"
"41","Absolventen/Abgänger allgemeinbildender Schulen 2015 - mit mittlerem Schulabschluss (%)","Struktur_28"
"42","Absolventen/Abgänger allgemeinbildender Schulen 2015 - mit allgemeiner und Fachhochschulreife (%)","Struktur_29"
"43","Kindertagesbetreuung: Betreute Kinder am 01.03.2016 (je 1000 Einwohner)","Struktur_30"
"44","Unternehmensregister 2014 - Unternehmen insgesamt (je 1000 Einwohner)","Struktur_31"
"45","Unternehmensregister 2014 - Handwerksunternehmen (je 1000 Einwohner)","Struktur_32"
"46","Sozialversicherungspflichtig Beschäftigte am 30.06.2016 - insgesamt (je 1000 Einwohner)","Struktur_33"
"47","Sozialversicherungspflichtig Beschäftigte am 30.06.2016 - Land- und Forstwirtschaft, Fischerei (%)","Struktur_34"
"48","Sozialversicherungspflichtig Beschäftigte am 30.06.2016 - Produzierendes Gewerbe (%)","Struktur_35"
"49","Sozialversicherungspflichtig Beschäftigte am 30.06.2016 - Handel, Gastgewerbe, Verkehr (%)","Struktur_36"
"50","Sozialversicherungspflichtig Beschäftigte am 30.06.2016 - Öffentliche und private Dienstleister (%)","Struktur_37"
"51","Sozialversicherungspflichtig Beschäftigte am 30.06.2016 - Übrige Dienstleister und 'ohne Angabe' (%)","Struktur_38"
"52","Empfänger(innen) von Leistungen nach SGB II am 31.12.2016 -  insgesamt (je 1000 Einwohner)","Struktur_39"
"53","Empfänger(innen) von Leistungen nach SGB II am 31.12.2016 - nicht erwerbsfähige Hilfebedürftige (%)","Struktur_40"
"54","Empfänger(innen) von Leistungen nach SGB II am 31.12.2016 - Ausländer (%)","Struktur_41"
"55","Arbeitslosenquote März 2017 - insgesamt","Struktur_42"
"56","Arbeitslosenquote März 2017 - Männer","Struktur_43"
"57","Arbeitslosenquote März 2017 - Frauen","Struktur_44"
"58","Arbeitslosenquote März 2017 - 15 bis unter 20 Jahre","Struktur_45"
"59","Arbeitslosenquote März 2017 - 55 bis unter 65 Jahre","Struktur_46"
"60","Gesamt","Struktur_47"
"61","CDU/CSU Anteil","Struktur_48"
"62","SPD Anteil","Struktur_49"
"63","Die Linke Anteil","Struktur_50"
"64","Bündnis 90/Die Grünen Anteil","Struktur_51"
"65","FDP Anteil","Struktur_52"
"66","AfD Anteil","Struktur_53"
"67","Wahlergebnis","Struktur_54"
